uf	pred	sf
pesimArɑuhɑ	pesimɑrɑuhɑ	pesimærɑuhɑ
heinApææn	heinɑpææn	heinæpææn
jæædytettAisiin	jæædytettɑisiin	jæædytettæisiin
rɑvintolisistA	rɑvintolisistɑ	rɑvintolisistæ
konetyyppiA	konetyyppiɑ	konetyyppiæ
kuluttAjAhintɑindeksistA	kuluttɑjæhintɑindeksistɑ	kuluttɑjɑhintɑindeksistæ
kuullUllA	kuullyllɑ	kuullullɑ
mɑnttelinperijOitA	mɑnttelinperijoitɑ	mɑnttelinperijøitæ
mɑtkɑilijAyhdistUksen	mɑtkɑilijæyhdistuksen	mɑtkɑilijɑyhdistyksen
sæteilUttAmAllA	sæteiluttɑmɑllɑ	sæteilyttæmællæ
etsintAkuulutUkset	etsintɑkuulutukset	etsintækuulutukset
juniorityøssA	juniorityøssɑ	juniorityøssæ
pælkæhtænUt	pælkæhtænut	pælkæhtænyt
vuosipæivænAAn	vuosipæivænɑɑn	vuosipæivænææn
jælkijættøiseltA	jælkijættøiseltɑ	jælkijættøiseltæ
lettiA	lettiɑ	lettiæ
mææræɑikɑistileillA	mææræɑikɑistileillɑ	mææræɑikɑistileillæ
mææræisinA	mææræisinɑ	mææræisinæ
orkesterisæestUksen	orkesterisæestuksen	orkesterisæestyksen
toimenpiteenAAn	toimenpiteenɑɑn	toimenpiteenææn
uutislæhteenA	uutislæhteenɑ	uutislæhteenæ
vetæjApulɑ	vetæjɑpulɑ	vetæjæpulɑ
ɑrvomerkkinsA	ɑrvomerkkinsɑ	ɑrvomerkkinsæ
ɑvɑintermejA	ɑvɑintermejɑ	ɑvɑintermejæ
heinAkɑnkɑɑntie	heinɑkɑnkɑɑntie	heinækɑnkɑɑntie
itæhelsinkilAiset	itæhelsinkilɑiset	itæhelsinkilæiset
jærkeenkæyvæltA	jærkeenkæyvæltɑ	jærkeenkæyvæltæ
kɑnsɑnryhmissA	kɑnsɑnryhmissɑ	kɑnsɑnryhmissæ
kyyhøttævAn	kyyhøttævɑn	kyyhøttævæn
køøriA	køøriɑ	køøriæ
lisævesiA	lisævesiɑ	lisævesiæ
mosɑiikkitøitA	mosɑiikkitøitɑ	mosɑiikkitøitæ
perinteitAkAAn	perinteitɑkɑɑn	perinteitækææn
pidættæmisessA	pidættæmisessɑ	pidættæmisessæ
selviæisikO	selviæisiko	selviæisikø
sædekehænA	sædekehænɑ	sædekehænæ
sæilytellA	sæilytellɑ	sæilytellæ
tærkeimpiAkin	tærkeimpiɑkin	tærkeimpiækin
yhdisteryhmiA	yhdisteryhmiɑ	yhdisteryhmiæ
yrttikylpyjA	yrttikylpyjɑ	yrttikylpyjæ
