uf	pred	sf
ɑdɑmHn	ɑdɑmin	ɑdɑmɯn
ineklAr	ineklɑr	inekler
bebeklAr	bebeklɑr	bebekler
sɑɑtHn	sɑɑtɯn	sɑɑtin
silindirH	silindirɯ	silindiri
kuvvetlH	kuvvetlɯ	kuvvetli
jyzmA	jyzmɑ	jyzme
jemekDA	jemektɑ	jemekte
tekerleklArH	tekerleklɑrɯ	tekerlekleri
resimlAr	resimlɑr	resimler
ytylArH	ytylɑrɯ	ytyleri
silmA	silmɑ	silme
elmH	elmɯ	elmi
ineklArDAn	ineklɑrdɑn	ineklerden
etmA	etmɑ	etme
trɑktørH	trɑktørɯ	trɑktøry
etmA	etmɑ	etme
renklArH	renklɑrɯ	renkleri
ɑskerlAr	ɑskerlɑr	ɑskerler
gitmA	gitmɑ	gitme
dikkɑtlH	dikkɑtlɯ	dikkɑtli
kɑdɑrDA	kɑdɑrde	kɑdɑrdɑ
pislHklArH	pislɯklɑrɯ	pislikleri
nerenDA	nerendɑ	nerende
gøzlArHn	gøzlɑrɯn	gøzlerin
øpHnʤA	øpunʤɑ	øpynʤe
kibritHn	kibritɯn	kibritin
sytsHz	sytsiz	sytsyz
kyrkH	kyrki	kyrky
gørAlHm	gørɑlɯm	gørelim
otomobillAr	otomobillɑr	otomobiller
iʃɑretlArH	iʃɑretlɑrɯ	iʃɑretleri
rɑdjoH	rɑdjoi	rɑdjou
etlH	etlɯ	etli
tepelArDAn	tepelerdɑn	tepelerden
fillAr	fillɑr	filler
iʃlArH	iʃlɑrɯ	iʃleri
evnHzHn	evnɯzɯn	evnizin
gøtyrAlHm	gøtyrɑlɯm	gøtyrelim
diʃʧiDA	diʃʧitɑ	diʃʧide
birAr	birɑr	birer
isimlArH	isimlɑrɯ	isimleri
kɑlkHnʤA	kɑlkinʤɑ	kɑlkɯnʤɑ
ɑrkɑdɑʃnHz	ɑrkɑdɑʃniz	ɑrkɑdɑʃnɯz
gøzmA	gøzmɑ	gøzme
gøzlArH	gøzlɑrɯ	gøzleri
pɑketDA	pɑkettɑ	pɑkette
kɑloriferlAr	kɑloriferlɑr	kɑloriferler
duvɑrDA	duvɑrde	duvɑrdɑ
ɑletlArHn	ɑletlɑrɯn	ɑletlerin
ɑletlArA	ɑletlɑrɑ	ɑletlere
ojunʤɑkʧHDAn	ojunʤɑkʧitɑn	ojunʤɑkʧɯdɑn
ojunʤɑkʧH	ojunʤɑkʧi	ojunʤɑkʧɯ
dɑdɯsHz	dɑdɯsiz	dɑdɯsɯz
