uf	pred	sf
ʃejlAr	ʃejlɑr	ʃejler
otobysHn	otobysin	otobysyn
vɑpurH	vɑpurɯ	vɑpuru
tɑmirA	tɑmirɑ	tɑmire
sɑʧlArmH	sɑʧlɑrmi	sɑʧlɑrmɯ
ʃøførH	ʃøførɯ	ʃøføry
resimlAr	resimlɑr	resimler
hɑlHn	hɑlɯn	hɑlin
silmA	silmɑ	silme
ineklArDAn	ineklɑrden	ineklerden
kɯzA	kɯze	kɯzɑ
sɯnɯfDA	sɯnɯfte	sɯnɯftɑ
renklArH	renklɑrɯ	renkleri
kɑldɯrHp	kɑldɯrup	kɑldɯrɯp
okulH	okulɯ	okulu
ɑskerlAr	ɑskerlɑr	ɑskerler
gitmA	gitmɑ	gitme
ujkumHzH	ujkumɯzɯ	ujkumuzu
dikkɑtlH	dikkɑtlɯ	dikkɑtli
jeDHkDAn	jediktɑn	jedikten
birʃejA	birʃejɑ	birʃeje
sɑnADA	sɑnɑtɑ	sɑnɑdɑ
olH	oli	olu
jɑzmA	jɑzme	jɑzmɑ
pislHklArH	pislɯklɑrɯ	pislikleri
bɑloHn	bɑloin	bɑloun
nerenDA	nerendɑ	nerende
gøzlArHn	gøzlɑrɯn	gøzlerin
øpHnʤA	øpunʤɑ	øpynʤe
dɑnDAn	dɑntɑn	dɑndɑn
kolH	kolɯ	kolu
sytsHz	sytsiz	sytsyz
erAlHm	erɑlɯm	erelim
gørAlHm	gørɑlɯm	gørelim
otomobillAr	otomobillɑr	otomobiller
rɑdjoH	rɑdjoi	rɑdjou
etlH	etlɯ	etli
sokɑklArDAn	sokɑklɑrden	sokɑklɑrdɑn
fillAr	fillɑr	filler
ʧeʃitlH	ʧeʃitlɯ	ʧeʃitli
renklAr	renklɑr	renkler
gyllAr	gyllɑr	gyller
gyllArmHz	gyllɑrmiz	gyllermiz
iʃlArH	iʃlɑrɯ	iʃleri
gøtyrAlHm	gøtyrɑlɯm	gøtyrelim
jemeklHk	jemeklɯk	jemeklik
jolHn	jolin	jolun
gørmA	gørmɑ	gørme
isimlArH	isimlɑrɯ	isimleri
kɑlkHnʤA	kɑlkinʤɑ	kɑlkɯnʤɑ
ɑrkɑdɑʃnHz	ɑrkɑdɑʃniz	ɑrkɑdɑʃnɯz
tuzsHz	tuzsiz	tuzsuz
gøzlArH	gøzlɑrɯ	gøzleri
pɑketDA	pɑkettɑ	pɑkette
kɑloriferlAr	kɑloriferlɑr	kɑloriferler
duvɑrDA	duvɑrde	duvɑrdɑ
ɑletlArA	ɑletlɑrɑ	ɑletlere
ojunʤɑkʧH	ojunʤɑkʧi	ojunʤɑkʧɯ
dɑdɯsHz	dɑdɯsiz	dɑdɯsɯz
girmA	girmɑ	girme
kɑʧnʤH	kɑʧnʤu	kɑʧnʤɯ
gelAn	gelɑn	gelen
geʧAn	geʧɑn	geʧen
ʃejA	ʃejɑ	ʃeje
kɑzHn	kɑzin	kɑzɯn
gynHn	gynin	gynyn
gørmAAlH	gørmɑɑlɯ	gørmeeli
syrHp	syrup	syryp
bezH	bezɯ	bezi
odɑmDAn	odɑmden	odɑmdɑn
gøtyrHnʤA	gøtyrunʤɑ	gøtyrynʤe
giderlAr	giderlɑr	giderler
kirɑzHn	kirɑzin	kirɑzɯn
ortɑlArDA	ortɑlɑrde	ortɑlɑrdɑ
ʧiʧeklAr	ʧiʧeklɑr	ʧiʧekler
kulɑklArmH	kulɑklɑrmi	kulɑklɑrmɯ
sønDHkDAn	søndiktɑn	søndykten
jerlArmH	jerlɑrmi	jerlermi
vɑpurDAn	vɑpurden	vɑpurdɑn
vɑpurDA	vɑpurde	vɑpurdɑ
jyzgeʧlArH	jyzgeʧlɑrɯ	jyzgeʧleri
sineklAr	sineklɑr	sinekler
kedilArA	kedilɑrɑ	kedilere
korkHp	korkyp	korkup
binmA	binmɑ	binme
dɑvulHn	dɑvulin	dɑvulun
tɑnkHn	tɑnkin	tɑnkɯn
bɑntHn	bɑntin	bɑntɯn
bɑʃmHzA	bɑʃmize	bɑʃmɯzɑ
tulumHn	tulumin	tulumun
diʃlArH	diʃlɑrɯ	diʃleri
sønHnʤA	sønunʤɑ	sønynʤe
elektriklAr	elektriklɑr	elektrikler
hɑnɯmH	hɑnɯmi	hɑnɯmɯ
hɑjvɑnmH	hɑjvɑnmi	hɑjvɑnmɯ
hɑjvɑnsHz	hɑjvɑnsiz	hɑjvɑnsɯz
ʧɑntɑmDAn	ʧɑntɑmden	ʧɑntɑmdɑn
døvAn	døvɑn	døven
televizjonnHz	televizjonniz	televizjonnuz
tuzlH	tuzlɯ	tuzlu
ɑmʤɑnHzA	ɑmʤɑnize	ɑmʤɑnɯzɑ
ɑrkɑmDA	ɑrkɑmde	ɑrkɑmdɑ
dønmA	dønmɑ	dønme
sevDHklArH	sevduklɑrɯ	sevdikleri
ystynDAkilAr	ystyndɑkiler	ystyndekiler
topmH	topmi	topmu
miDAn	mitɑn	miden
burɑlArDA	burɑlɑrde	burɑlɑrdɑ
ørdeklArH	ørdeklɑrɯ	ørdekleri
geʧmADHkʧA	geʧmɑdɯkʧɑ	geʧmedikʧe
kreʃDAn	kreʃtɑn	kreʃten
bozmA	bozme	bozmɑ
sɑbɯrsHz	sɑbɯrsiz	sɑbɯrsɯz
syslH	syslɯ	sysly
tykyrmA	tykyrmɑ	tykyrme
