uf	pred	sf
perliberaLis	perliberaris	perliberalis
trabaLis	trabaris	trabalis
libraLis	libraris	libralis
tripedaLis	tripedaris	tripedalis
pertaLis	pertaris	pertalis
korporaLis	korporaris	korporalis
palmipedaLis	palmipedaris	palmipedalis
kommortaLis	kommortaris	kommortalis
ruminaLis	ruminaris	ruminalis
triumuiraLis	triumuiraris	triumuiralis
originaLis	originaris	originalis
nowerkaLis	nowerkaris	nowerkalis
lustraLis	lustraris	lustralis
wolataLis	wolataris	wolatalis
terminaLis	terminaris	terminalis
wrginaLis	wrginaris	wrginalis
dekemwiraLis	dekemwiraris	dekemwiralis
