UF	SF
kimuli	kimuli
nupuɹu	nupuɹu
begili	begili
tubuɹu	tubuɹu
begiɹu	begiɹu
nenuɹu	nenuɹu
gunuli	gunuli
kimuɹu	kimuɹu
tubuli	tubuli
gunuɹu	gunuɹu
detuɹu	detuɹu
detuli	detuli
negoɹu	negoɹu
negoli	negoli
nenuli	nenuli
nupuli	nupuli
geɹidiɹu	geɹidiɹu
peɹikuli	pelikuli
nigolili	nigolili
nimololi	nimololi
nolobiɹu	noɹobiɹu
beɹumeli	belumeli
geɹemuli	gelemuli
miletuɹu	miɹetuɹu
pedeloɹu	pedeloɹu
toɹopeli	tolopeli
dinoɹeli	dinoɹeli
tebiluɹu	tebiluɹu
gobiɹeɹu	gobiɹeɹu
guɹimuɹu	guɹimuɹu
pepoɹili	pepoɹili
tipeleli	tipeleli
butuɹoli	butuɹoli
getoliɹu	getoliɹu
nuɹegoli	nulegoli
deɹiboli	deliboli
tunilili	tunilili
pokeɹuɹu	pokeɹuɹu
bopoloɹu	bopoloɹu
niɹepiɹu	niɹepiɹu
kidiɹoɹu	kidiɹoɹu
nilunuli	nilunuli
tiɹogoli	tilogoli
bunoɹeɹu	bunoɹeɹu
dilinuli	dilinuli
guɹiniɹu	guɹiniɹu
duteɹiɹu	duteɹiɹu
deɹidiɹu	deɹidiɹu
kiɹokoɹu	kiɹokoɹu
pekololi	pekololi
nugiɹiɹu	nugiɹiɹu
gilikoli	gilikoli
buboɹuɹu	buboɹuɹu
pumoɹeli	pumoɹeli
deɹogiɹu	deɹogiɹu
giɹunoɹu	giɹunoɹu
gimiɹeɹu	gimiɹeɹu
dilinuɹu	diɹinuɹu
nelopili	nelopili
geleboɹu	geɹeboɹu
pekoloɹu	pekoloɹu
dolubuɹu	doɹubuɹu
giguɹiɹu	giguɹiɹu
doteloɹu	doteloɹu
goluboɹu	goɹuboɹu
polibiɹu	poɹibiɹu
peɹikuɹu	peɹikuɹu
notuloli	notuloli
bepeloli	bepeloli
gilotoli	gilotoli
mulimoɹu	muɹimoɹu
puɹumoɹu	puɹumoɹu
mepuɹiɹu	mepuɹiɹu
tebiɹoli	tebiɹoli
pulekeɹu	puɹekeɹu
boɹoboɹu	boɹoboɹu
goluboli	goluboli
nubiloli	nubiloli
poneleli	poneleli
doteloli	doteloli
guɹinili	gulinili
keɹemeli	kelemeli
nuɹutili	nulutili
gelideli	gelideli
doɹugili	dolugili
puɹimuli	pulimuli
gelideɹu	geɹideɹu
kuɹoniɹu	kuɹoniɹu
pumoɹili	pumoɹili
detoleɹu	detoleɹu
pepoɹoɹu	pepoɹoɹu
tebiluli	tebiluli
deɹidili	delidili
begeɹeɹu	begeɹeɹu
keliduɹu	keɹiduɹu
putoɹuɹu	putoɹuɹu
gemoɹili	gemoɹili
duteɹili	duteɹili
polideɹu	poɹideɹu
molokeli	molokeli
mitululi	mitululi
buɹebili	bulebili
geɹepoli	gelepoli
motileli	motileli
nogoɹeli	nogoɹeli
nigilili	nigilili
diniliɹu	diniliɹu
ponoɹuli	ponoɹuli
nemiɹili	nemiɹili
deɹumoɹu	deɹumoɹu
putoɹuli	putoɹuli
gitiluɹu	gitiluɹu
tulukeɹu	tuɹukeɹu
deɹogili	delogili
bepeloɹu	bepeloɹu
mituluɹu	mituluɹu
tolodiɹu	toɹodiɹu
pokeɹuli	pokeɹuli
dekeliɹu	dekeliɹu
neɹitoɹu	neɹitoɹu
tutelili	tutelili
mukileli	mukileli
miɹekeli	milekeli
nilunuɹu	niɹunuɹu
nelumuɹu	neɹumuɹu
nideɹeli	nideɹeli
tiɹidoɹu	tiɹidoɹu
kipuloɹu	kipuloɹu
negeɹili	negeɹili
mimiɹuli	mimiɹuli
nulobili	nulobili
numiɹuɹu	numiɹuɹu
tomileɹu	tomileɹu
numiɹuli	numiɹuli
buboɹuli	buboɹuli
kediloli	kediloli
digiɹuli	digiɹuli
kulebeɹu	kuɹebeɹu
dumilili	dumilili
boduɹeli	boduɹeli
guɹogoɹu	guɹogoɹu
kulebeli	kulebeli
kelopiɹu	keɹopiɹu
puɹimuɹu	puɹimuɹu
nolineli	nolineli
tuteliɹu	tuteliɹu
miletuli	miletuli
poneleɹu	poneleɹu
nideɹeɹu	nideɹeɹu
butuɹoɹu	butuɹoɹu
nolineɹu	noɹineɹu
nuguɹeɹu	nuguɹeɹu
teniɹiɹu	teniɹiɹu
telegeli	telegeli
kuɹikuɹu	kuɹikuɹu
diniɹeli	diniɹeli
mimiɹuɹu	mimiɹuɹu
diniɹeɹu	diniɹeɹu
delikuli	delikuli
toduɹeɹu	toduɹeɹu
bipiliɹu	bipiliɹu
tipeleɹu	tipeleɹu
delipuli	delipuli
meɹemuli	melemuli
pemileli	pemileli
gupuluɹu	gupuluɹu
telegeɹu	teɹegeɹu
peɹopili	pelopili
gilotoɹu	giɹotoɹu
nomoluɹu	nomoluɹu
kidiɹoli	kidiɹoli
buɹebiɹu	buɹebiɹu
beɹumeɹu	beɹumeɹu
nigoliɹu	nigoliɹu
miɹekeɹu	miɹekeɹu
gemoɹiɹu	gemoɹiɹu
butiɹoɹu	butiɹoɹu
guɹimuli	gulimuli
butiɹoli	butiɹoli
getolili	getolili
nimoloɹu	nimoloɹu
meɹonoɹu	meɹonoɹu
neɹitoli	nelitoli
gelutoli	gelutoli
kilikuli	kilikuli
kuɹikuli	kulikuli
piɹiduli	piliduli
bepeliɹu	bepeliɹu
tulekeɹu	tuɹekeɹu
toɹopeɹu	toɹopeɹu
kilikuɹu	kiɹikuɹu
boɹoboli	boloboli
negeɹiɹu	negeɹiɹu
teniɹili	teniɹili
bebuliɹu	bebuliɹu
geleboli	geleboli
duɹukili	dulukili
melipeli	melipeli
bipilili	bipilili
tenululi	tenululi
bunoɹili	bunoɹili
giɹimuɹu	giɹimuɹu
gilodiɹu	giɹodiɹu
tulukeli	tulukeli
tiɹogoɹu	tiɹogoɹu
temoluli	temoluli
diɹemiɹu	diɹemiɹu
pulekeli	pulekeli
gopeleli	gopeleli
toboɹeli	toboɹeli
numiluɹu	numiluɹu
gekuɹoli	gekuɹoli
gilikoɹu	giɹikoɹu
poniɹoli	poniɹoli
niɹinili	nilinili
kiɹokoli	kilokoli
tulekeli	tulekeli
tudoɹoli	tudoɹoli
keliduli	keliduli
piniluli	piniluli
polibili	polibili
nutoɹeli	nutoɹeli
gelopili	gelopili
mukileɹu	mukileɹu
mimoluɹu	mimoluɹu
deɹiboɹu	deɹiboɹu
mudoɹeɹu	mudoɹeɹu
melumeɹu	meɹumeɹu
beduɹeli	beduɹeli
gimuɹuli	gimuɹuli
tomileli	tomileli
pumoɹiɹu	pumoɹiɹu
biɹukoɹu	biɹukoɹu
putiluli	putiluli
guɹogoli	gulogoli
gekuɹoɹu	gekuɹoɹu
mepuɹili	mepuɹili
melipeɹu	meɹipeɹu
geɹepoɹu	geɹepoɹu
peɹopiɹu	peɹopiɹu
dinoɹeɹu	dinoɹeɹu
gelutoɹu	geɹutoɹu
nugiɹili	nugiɹili
geɹemuɹu	geɹemuɹu
bilegoli	bilegoli
geɹidili	gelidili
dekelili	dekelili
detoleli	detoleli
boduɹeɹu	boduɹeɹu
putiluɹu	putiluɹu
tudoɹoɹu	tudoɹoɹu
polideli	polideli
mulodeɹu	muɹodeɹu
temoluɹu	temoluɹu
noɹigiɹu	noɹigiɹu
gigoɹiɹu	gigoɹiɹu
tugiɹoɹu	tugiɹoɹu
kuɹonili	kulonili
dikuɹili	dikuɹili
gigoɹili	gigoɹili
niɹiniɹu	niɹiniɹu
tiɹidoli	tilidoli
geɹekuɹu	geɹekuɹu
nomoluli	nomoluli
melumeli	melumeli
niboleɹu	niboleɹu
delipuɹu	deɹipuɹu
diɹemili	dilemili
tilomiɹu	tiɹomiɹu
mulodeli	mulodeli
gubulili	gubulili
gimuɹuɹu	gimuɹuɹu
beluteɹu	beɹuteɹu
niɹepili	nilepili
kodoliɹu	kodoliɹu
gelopiɹu	geɹopiɹu
dulekoɹu	duɹekoɹu
poniɹoɹu	poniɹoɹu
beluteli	beluteli
giguɹili	giguɹili
mimoluli	mimoluli
bipileli	bipileli
nemiɹiɹu	nemiɹiɹu
kukiɹili	kukiɹili
nutoɹeɹu	nutoɹeɹu
ponoɹuɹu	ponoɹuɹu
nogoɹeɹu	nogoɹeɹu
beduɹeɹu	beduɹeɹu
piɹiduɹu	piɹiduɹu
moɹudoɹu	moɹudoɹu
gelonoɹu	geɹonoɹu
kiɹebiɹu	kiɹebiɹu
kelopili	kelopili
notuloɹu	notuloɹu
nubiloɹu	nubiloɹu
giɹimuli	gilimuli
golukiɹu	goɹukiɹu
motileɹu	motileɹu
belukoli	belukoli
gopeleɹu	gopeleɹu
toluduɹu	toɹuduɹu
gobiɹeli	gobiɹeli
mudoɹeli	mudoɹeli
mepeleli	mepeleli
nuguɹeli	nuguɹeli
noduɹuli	noduɹuli
deɹumoli	delumoli
dulekoli	dulekoli
bunoɹeli	bunoɹeli
duɹipili	dulipili
toluduli	toluduli
duɹukiɹu	duɹukiɹu
golukili	golukili
