UF	SF
kimuli	kimuli
nupuɹu	nupuɹu
begili	begili
tubuɹu	tubuɹu
begiɹu	begiɹu
nenuɹu	nenuɹu
gunuli	gunuli
kimuɹu	kimuɹu
tubuli	tubuli
gunuɹu	gunuɹu
detuɹu	detuɹu
detuli	detuli
negoɹu	negoɹu
negoli	negoli
nenuli	nenuli
nupuli	nupuli
dikuLili	dikulili
denitoli	denitoli
getoLiɹu	getoɹiɹu
nigoLili	nigolili
kegepoli	kegepoli
temoLuɹu	temoɹuɹu
mobibuli	mobibuli
nigoLiɹu	nigoɹiɹu
komiLeɹu	komiɹeɹu
gotupeli	gotupeli
nobimiɹu	nobimiɹu
gupuLuli	gupululi
niboLeli	niboleli
mepuLiɹu	mepuɹiɹu
kumibuɹu	kumibuɹu
tebiLuli	tebiluli
nogoLeɹu	nogoɹeɹu
tudoLoɹu	tudoɹoɹu
gototuli	gototuli
kukiLili	kukilili
dubudoɹu	dubudoɹu
diniLeli	dinileli
kediLoli	kediloli
bunoLiɹu	bunoɹiɹu
begetili	begetili
dugenuɹu	dugenuɹu
notuLoɹu	notuɹoɹu
bipiLeɹu	bipiɹeɹu
motiLeli	motileli
gopegili	gopegili
kugimuɹu	kugimuɹu
gobiLeli	gobileli
dodeneli	dodeneli
nimoLoɹu	nimoɹoɹu
tukenuɹu	tukenuɹu
pumoLiɹu	pumoɹiɹu
nutoLeli	nutoleli
dinupuɹu	dinupuɹu
pipibeɹu	pipibeɹu
digiLuɹu	digiɹuɹu
pinenoɹu	pinenoɹu
niboLeɹu	niboɹeɹu
goduduli	goduduli
gigoLiɹu	gigoɹiɹu
mokomili	mokomili
kigepoli	kigepoli
pinenoli	pinenoli
mikekeli	mikekeli
tudukili	tudukili
gemoLili	gemolili
gototuɹu	gototuɹu
botopili	botopili
gidekoɹu	gidekoɹu
mokomiɹu	mokomiɹu
pokeLuli	pokeluli
tibukoɹu	tibukoɹu
topotoli	topotoli
dinupuli	dinupuli
dopupuli	dopupuli
gidepoli	gidepoli
nideLeɹu	nideɹeɹu
dibipeli	dibipeli
tugiLoɹu	tugiɹoɹu
nunupuɹu	nunupuɹu
monuneli	monuneli
butuLoli	butuloli
gimiLeɹu	gimiɹeɹu
nebebuli	nebebuli
tudukiɹu	tudukiɹu
noduLuɹu	noduɹuɹu
diniLeɹu	diniɹeɹu
pigipoli	pigipoli
pepoLiɹu	pepoɹiɹu
gonodeɹu	gonodeɹu
gekuLoɹu	gekuɹoɹu
dekeLili	dekelili
mepeLeɹu	mepeɹeɹu
gopikuli	gopikuli
toboLeɹu	toboɹeɹu
pumoLeli	pumoleli
bipemiɹu	bipemiɹu
dupinuli	dupinuli
nebebuɹu	nebebuɹu
gidipeɹu	gidipeɹu
kodoLiɹu	kodoɹiɹu
notuLoli	notuloli
mukiLeɹu	mukiɹeɹu
denitoɹu	denitoɹu
toduLeli	toduleli
gekuLoli	gekuloli
pipibeli	pipibeli
pumoLili	pumolili
pemiLeɹu	pemiɹeɹu
bepoguli	bepoguli
nipuLeɹu	nipuɹeɹu
gopikuɹu	gopikuɹu
tegudeli	tegudeli
goditili	goditili
mituLuɹu	mituɹuɹu
getoLili	getolili
kumibuli	kumibuli
kenipoli	kenipoli
kepikoɹu	kepikoɹu
piniLuɹu	piniɹuɹu
tetudeli	tetudeli
nugiLiɹu	nugiɹiɹu
tuteLiɹu	tuteɹiɹu
mimoLuɹu	mimoɹuɹu
kenipoɹu	kenipoɹu
negeLiɹu	negeɹiɹu
gopegiɹu	gopegiɹu
dinoLeli	dinoleli
gimiLeli	gimileli
bebuLiɹu	bebuɹiɹu
pumegoli	pumegoli
gigoLili	gigolili
tibukoli	tibukoli
ninedeɹu	ninedeɹu
gipedili	gipedili
nomoLuɹu	nomoɹuɹu
kugimuli	kugimuli
dibipeɹu	dibipeɹu
dekeLiɹu	dekeɹiɹu
putiLuɹu	putiɹuɹu
kidiLoɹu	kidiɹoɹu
bipiLeli	bipileli
kigepoɹu	kigepoɹu
digemili	digemili
mepeLeli	mepeleli
kebegeɹu	kebegeɹu
pedeLoɹu	pedeɹoɹu
digemiɹu	digemiɹu
detoLeɹu	detoɹeɹu
mimiLuɹu	mimiɹuɹu
dupinuɹu	dupinuɹu
tudugiɹu	tudugiɹu
mudoLeɹu	mudoɹeɹu
tipeLeɹu	tipeɹeɹu
digiLuli	digiluli
kugopeɹu	kugopeɹu
bunoLeli	bunoleli
notodeɹu	notodeɹu
bopoLoɹu	bopoɹoɹu
pekoLoɹu	pekoɹoɹu
buboLuli	buboluli
toduLeɹu	toduɹeɹu
nigunoɹu	nigunoɹu
numiLuli	numiluli
tugiLoli	tugiloli
diniLiɹu	diniɹiɹu
gunetoɹu	gunetoɹu
topotoɹu	topotoɹu
tutumeɹu	tutumeɹu
giguLili	gigulili
binuguɹu	binuguɹu
pumoLeɹu	pumoɹeɹu
mukiLeli	mukileli
mopudiɹu	mopudiɹu
kodugili	kodugili
nemiLili	nemilili
tebegoli	tebegoli
tutumeli	tutumeli
duteLili	dutelili
goditiɹu	goditiɹu
mekipuli	mekipuli
nigiLiɹu	nigiɹiɹu
tomiLeli	tomileli
gimuLuli	gimululi
gokomuɹu	gokomuɹu
kubokuli	kubokuli
doduboli	doduboli
bediboɹu	bediboɹu
pigipoɹu	pigipoɹu
temedili	temedili
nomoLuli	nomoluli
bunoLeɹu	bunoɹeɹu
tipeLeli	tipeleli
notodeli	notodeli
beduLeli	beduleli
bipiLiɹu	bipiɹiɹu
binuguli	binuguli
nutoLeɹu	nutoɹeɹu
bepeLoli	bepeloli
nemiLiɹu	nemiɹiɹu
butiLoli	butiloli
dikuLiɹu	dikuɹiɹu
kugopeli	kugopeli
beduLeɹu	beduɹeɹu
mobugili	mobugili
mimiLuli	mimiluli
gidipeli	gidipeli
gopeLeli	gopeleli
miguneli	miguneli
kidiLoli	kidiloli
digimuɹu	digimuɹu
kukiLiɹu	kukiɹiɹu
gunetoli	gunetoli
gubogeli	gubogeli
mukobeɹu	mukobeɹu
gidekoli	gidekoli
mepukeɹu	mepukeɹu
gebimeli	gebimeli
nipuLeli	nipuleli
doteLoɹu	doteɹoɹu
bukikuɹu	bukikuɹu
tuniLiɹu	tuniɹiɹu
metutoɹu	metutoɹu
kutomoli	kutomoli
gotupeɹu	gotupeɹu
benomoɹu	benomoɹu
tuniLili	tunilili
ponoLuli	ponoluli
nitetiɹu	nitetiɹu
kodoLili	kodolili
tegudeɹu	tegudeɹu
kediLoɹu	kediɹoɹu
gebimeɹu	gebimeɹu
begetiɹu	begetiɹu
butiLoɹu	butiɹoɹu
mumekoli	mumekoli
dopomoli	dopomoli
bedogili	bedogili
bipiduli	bipiduli
kubokuɹu	kubokuɹu
temediɹu	temediɹu
tebiLuɹu	tebiɹuɹu
nigunoli	nigunoli
boduLeli	boduleli
nunupuli	nunupuli
kebegeli	kebegeli
mituLuli	mitululi
tudoLoli	tudololi
nugiLili	nugilili
gipediɹu	gipediɹu
tukenuli	tukenuli
miguneɹu	miguneɹu
dodumoɹu	dodumoɹu
gidepoɹu	gidepoɹu
gopeLeɹu	gopeɹeɹu
putoLuli	putoluli
gubogeɹu	gubogeɹu
gemoLiɹu	gemoɹiɹu
bipemili	bipemili
betogeli	betogeli
nubiLoɹu	nubiɹoɹu
pekoLoli	pekololi
bebuLili	bebulili
dopomoɹu	dopomoɹu
noduLuli	nodululi
metutoli	metutoli
poneLeli	poneleli
tenuLuɹu	tenuɹuɹu
bepeLili	bepelili
putoLuɹu	putoɹuɹu
tebegoɹu	tebegoɹu
munegoɹu	munegoɹu
poneLeɹu	poneɹeɹu
kepikoli	kepikoli
tuteLili	tutelili
mudoLeli	mudoleli
gikinoli	gikinoli
nobimili	nobimili
dumiLili	dumilili
bopoLoli	bopololi
pepoLili	pepolili
bepeLoɹu	bepeɹoɹu
nimoLoli	nimololi
doteLoli	doteloli
putiLuli	putiluli
dobekili	dobekili
tomiLeɹu	tomiɹeɹu
dobekiɹu	dobekiɹu
motiLeɹu	motiɹeɹu
ninedeli	ninedeli
gitiLuli	gitiluli
tenuLuli	tenululi
tetudeɹu	tetudeɹu
gitiLuɹu	gitiɹuɹu
tebiLoɹu	tebiɹoɹu
gobiLeɹu	gobiɹeɹu
dopupuɹu	dopupuɹu
pokeLuɹu	pokeɹuɹu
bukikuli	bukikuli
kipuLoli	kipuloli
dubudoli	dubudoli
mebumeli	mebumeli
nubiLoli	nubiloli
pepoLoɹu	pepoɹoɹu
ninogeli	ninogeli
bikebeɹu	bikebeɹu
negeLili	negelili
dikubuli	dikubuli
pemiLeli	pemileli
doduboɹu	doduboɹu
bipiLili	bipilili
nimipuɹu	nimipuɹu
gubuLili	gubulili
mepuLili	mepulili
dinoLeɹu	dinoɹeɹu
diniLili	dinilili
mepukeli	mepukeli
tudugili	tudugili
pumegoɹu	pumegoɹu
mekipuɹu	mekipuɹu
pepoLoli	pepololi
tumetiɹu	tumetiɹu
gupuLuɹu	gupuɹuɹu
bikebeli	bikebeli
mumekoɹu	mumekoɹu
nogoLeli	nogoleli
