UF	SF
kimuli	kimuli
nupuɹu	nupuɹu
begili	begili
tubuɹu	tubuɹu
begiɹu	begiɹu
nenuɹu	nenuɹu
gunuli	gunuli
kimuɹu	kimuɹu
tubuli	tubuli
gunuɹu	gunuɹu
detuɹu	detuɹu
detuli	detuli
negoɹu	negoɹu
negoli	negoli
nenuli	nenuli
nupuli	nupuli
diLukili	dilukili
deLoteli	deloteli
gebimeɹu	gebimeɹu
niLogili	nilogili
kegepoli	kegepoli
tebegoɹu	tebegoɹu
moLiteli	moliteli
niLogiɹu	niɹogiɹu
kodugiɹu	kodugiɹu
gotupeli	gotupeli
noLogeɹu	noɹogeɹu
gunetoli	gunetoli
niLedeli	niledeli
menemuɹu	menemuɹu
kumibuɹu	kumibuɹu
teLinili	telinili
noLuduɹu	noɹuduɹu
tuLetiɹu	tuɹetiɹu
gototuli	gototuli
kugopeli	kugopeli
duLetiɹu	duɹetiɹu
digemili	digemili
kebegeli	kebegeli
buLoniɹu	buɹoniɹu
bediboli	bediboli
duLimiɹu	duɹimiɹu
notodeɹu	notodeɹu
binuguɹu	binuguɹu
mopudili	mopudili
gopegili	gopegili
kubokuɹu	kubokuɹu
goLepeli	golepeli
dobekili	dobekili
nigunoɹu	nigunoɹu
tudugiɹu	tudugiɹu
puLomiɹu	puɹomiɹu
nunupuli	nunupuli
dinupuɹu	dinupuɹu
pipibeɹu	pipibeɹu
diLiniɹu	diɹiniɹu
pigipoɹu	pigipoɹu
niLedeɹu	niɹedeɹu
goditili	goditili
giLugiɹu	giɹugiɹu
mobugili	mobugili
kiLupoli	kilupoli
pigipoli	pigipoli
miLomuli	milomuli
tuLinili	tulinili
geLukoli	gelukoli
gototuɹu	gototuɹu
botopili	botopili
giLimeɹu	giɹimeɹu
mobugiɹu	mobugiɹu
poLekuli	polekuli
tiLepeɹu	tiɹepeɹu
topotoli	topotoli
dinupuli	dinupuli
dopomoli	dopomoli
giLituli	gilituli
niLigiɹu	niɹigiɹu
diLiguli	diliguli
tuLodoɹu	tuɹodoɹu
nuLugeɹu	nuɹugeɹu
mokomili	mokomili
bukikuli	bukikuli
gidepoɹu	gidepoɹu
neLegili	nelegili
tuLiniɹu	tuɹiniɹu
noLomuɹu	noɹomuɹu
digemiɹu	digemiɹu
piLinuli	pilinuli
peLopiɹu	peɹopiɹu
gokomuɹu	gokomuɹu
geLotiɹu	geɹotiɹu
deLekili	delekili
mekipuɹu	mekipuɹu
gopikuli	gopikuli
toLimeɹu	toɹimeɹu
puLomeli	pulomeli
bikebeɹu	bikebeɹu
dugenuli	dugenuli
neLegiɹu	neɹegiɹu
giLogiɹu	giɹogiɹu
koLimeɹu	koɹimeɹu
notodeli	notodeli
muLodeɹu	muɹodeɹu
deLoteɹu	deɹoteɹu
toLobeli	tolobeli
geLotili	gelotili
pipibeli	pipibeli
puLomili	pulomili
peLokoɹu	peɹokoɹu
bepoguli	bepoguli
ninogeɹu	ninogeɹu
gopikuɹu	gopikuɹu
teLomuli	telomuli
goLibeli	golibeli
mikekeɹu	mikekeɹu
gebimeli	gebimeli
kumibuli	kumibuli
kenipoli	kenipoli
kepikoɹu	kepikoɹu
pinenoɹu	pinenoɹu
tetudeli	tetudeli
nuLigiɹu	nuɹigiɹu
tumetiɹu	tumetiɹu
miguneɹu	miguneɹu
kenipoɹu	kenipoɹu
neLimiɹu	neɹimiɹu
gopegiɹu	gopegiɹu
dikubuli	dikubuli
gidepoli	gidepoli
beLegeɹu	beɹegeɹu
puLituli	pulituli
giLugili	gilugili
tiLepeli	tilepeli
nimipuɹu	nimipuɹu
ginopili	ginopili
noLutoɹu	noɹutoɹu
kubokuli	kubokuli
diLiguɹu	diɹiguɹu
deLekiɹu	deɹekiɹu
puLotuɹu	puɹotuɹu
kiLidoɹu	kiɹidoɹu
binuguli	binuguli
kiLupoɹu	kiɹupoɹu
diLineli	dilineli
mekipuli	mekipuli
keLidoɹu	keɹidoɹu
peLedoɹu	peɹedoɹu
diLineɹu	diɹineɹu
denitoɹu	denitoɹu
miLutuɹu	miɹutuɹu
dugenuɹu	dugenuɹu
tuLigoɹu	tuɹigoɹu
muLikeɹu	muɹikeɹu
tibukoɹu	tibukoɹu
diLinili	dilinili
kugimuɹu	kugimuɹu
buLoneli	buloneli
nobimiɹu	nobimiɹu
boLudeɹu	boɹudeɹu
peLimeɹu	peɹimeɹu
buLitoli	bulitoli
toLobeɹu	toɹobeɹu
niLomoɹu	niɹomoɹu
nuLimuɹu	nuɹimuɹu
tuLodoli	tulodoli
digimuɹu	digimuɹu
gubogeɹu	gubogeɹu
topotoɹu	topotoɹu
tutumeɹu	tutumeɹu
giLumuli	gilumuli
biLipiɹu	biɹipiɹu
puLomeɹu	puɹomeɹu
muLodeli	mulodeli
monuneɹu	monuneɹu
koLodili	kolodili
nebebuli	nebebuli
teLiboli	teliboli
tutumeli	tutumeli
dupinuli	dupinuli
goLibeɹu	goɹibeɹu
meLupili	melupili
niLobeɹu	niɹobeɹu
toLudeli	toludeli
gidipeli	gidipeli
goduduɹu	goduduɹu
kuLikili	kulikili
dodeneli	dodeneli
beLepiɹu	beɹepiɹu
piLinuɹu	piɹinuɹu
teLunuli	telunuli
noLutoli	nolutoli
buLoneɹu	buɹoneɹu
tibukoli	tibukoli
nobimili	nobimili
beLubili	belubili
bipemiɹu	bipemiɹu
biLipili	bilipili
nunupuɹu	nunupuɹu
benomoli	benomoli
nebebuɹu	nebebuɹu
buLutoli	bulutoli
diLukiɹu	diɹukiɹu
kugimuli	kugimuli
beLubiɹu	beɹubiɹu
mobibuli	mobibuli
miLutuli	milutuli
giLogili	gilogili
gonodeli	gonodeli
miLimuli	milimuli
kiLidoli	kilidoli
diLoneɹu	diɹoneɹu
kugopeɹu	kugopeɹu
gubogeli	gubogeli
guLubili	gulubili
mukobeɹu	mukobeɹu
giLimeli	gilimeli
mepukeɹu	mepukeɹu
geLomili	gelomili
ninogeli	ninogeli
dopupuɹu	dopupuɹu
buLobuɹu	buɹobuɹu
tukenuɹu	tukenuɹu
metutoɹu	metutoɹu
kutomoli	kutomoli
gotupeɹu	gotupeɹu
bedogiɹu	bedogiɹu
tukenuli	tukenuli
poLonuli	polonuli
nitetiɹu	nitetiɹu
koLimeli	kolimeli
teLomuɹu	teɹomuɹu
kebegeɹu	kebegeɹu
geLomiɹu	geɹomiɹu
bediboɹu	bediboɹu
buLutoɹu	buɹutoɹu
mumekoli	mumekoli
dodumoli	dodumoli
beLepoli	belepoli
bipiduli	bipiduli
kuLikiɹu	kuɹikiɹu
teLunuɹu	teɹunuɹu
teLiniɹu	teɹiniɹu
niLomoli	nilomoli
boLopoli	bolopoli
nuLugeli	nulugeli
keLidoli	kelidoli
mikekeli	mikekeli
tuLetili	tuletili
nuLigili	nuligili
ginopiɹu	ginopiɹu
tudugili	tudugili
miLimuɹu	miɹimuɹu
doduboɹu	doduboɹu
giLituɹu	giɹituɹu
gonodeɹu	gonodeɹu
pumegoli	pumegoli
guLubiɹu	guɹubiɹu
geLukoɹu	geɹukoɹu
bikebeli	bikebeli
betogeli	betogeli
nuLiboɹu	nuɹiboɹu
peLimeli	pelimeli
beLegeli	belegeli
dodumoɹu	dodumoɹu
noLomuli	nolomuli
metutoli	metutoli
poLeneli	poleneli
temediɹu	temediɹu
begetili	begetili
pumegoɹu	pumegoɹu
teLiboɹu	teɹiboɹu
munegoɹu	munegoɹu
poLeneɹu	poɹeneɹu
kepikoli	kepikoli
tumetili	tumetili
muLikeli	mulikeli
gidekoli	gidekoli
noLogeli	nologeli
dubudoli	dubudoli
boLudeli	boludeli
peLopili	pelopili
benomoɹu	benomoɹu
nigunoli	nigunoli
dopupuli	dopupuli
puLotuli	pulotuli
doLetoli	doletoli
toLudeɹu	toɹudeɹu
doLetoɹu	doɹetoɹu
mopudiɹu	mopudiɹu
nimipuli	nimipuli
gipedili	gipedili
temedili	temedili
tetudeɹu	tetudeɹu
gipediɹu	gipediɹu
teLibuɹu	teɹibuɹu
goLepeɹu	goɹepeɹu
dopomoɹu	dopomoɹu
poLekuɹu	poɹekuɹu
buLobuli	bulobuli
kigepoli	kigepoli
duLetili	duletili
meLepeli	melepeli
nuLiboli	nuliboli
peLopoɹu	peɹopoɹu
ninedeli	ninedeli
biLipeɹu	biɹipeɹu
neLimili	nelimili
dibipeli	dibipeli
peLokoli	pelokoli
dodeneɹu	dodeneɹu
bipemili	bipemili
niLupeɹu	niɹupeɹu
guLupuli	gulupuli
menemuli	menemuli
dikubuɹu	dikubuɹu
digimuli	digimuli
mepukeli	mepukeli
tuLigoli	tuligoli
puLituɹu	puɹituɹu
meLupiɹu	meɹupiɹu
peLopoli	pelopoli
tudukiɹu	tudukiɹu
gunetoɹu	gunetoɹu
biLipeli	bilipeli
mumekoɹu	mumekoɹu
noLuduli	noluduli
denitoli	denitoli
duLukiɹu	duɹukiɹu
boLopoɹu	boɹopoɹu
beLepili	belepili
kopigeli	kopigeli
kigepoɹu	kigepoɹu
nuLimuli	nulimuli
buLitoɹu	buɹitoɹu
betogeɹu	betogeɹu
