UF	SF
kimuli	kimuli
nupuɹu	nupuɹu
begili	begili
tubuɹu	tubuɹu
begiɹu	begiɹu
nenuɹu	nenuɹu
gunuli	gunuli
kimuɹu	kimuɹu
tubuli	tubuli
gunuɹu	gunuɹu
detuɹu	detuɹu
detuli	detuli
negoɹu	negoɹu
negoli	negoli
nenuli	nenuli
nupuli	nupuli
geɹidiɹu	geɹidiɹu
peɹikuli	peɹikuli
nigolili	nigolili
nimololi	nimololi
nolobiɹu	nolobiɹu
beɹumeli	beɹumeli
geɹemuli	geɹemuli
miletuɹu	miletuɹu
pedeloɹu	pedeɹoɹu
toɹopeli	toɹopeli
dinoɹeli	dinoleli
tebiluɹu	tebiɹuɹu
gobiɹeɹu	gobiɹeɹu
guɹimuɹu	guɹimuɹu
pepoɹili	pepolili
tipeleli	tipeleli
butuɹoli	butuloli
getoliɹu	getoɹiɹu
nuɹegoli	nuɹegoli
deɹiboli	deɹiboli
tunilili	tunilili
pokeɹuɹu	pokeɹuɹu
bopoloɹu	bopoɹoɹu
niɹepiɹu	niɹepiɹu
kidiɹoɹu	kidiɹoɹu
nilunuli	nilunuli
tiɹogoli	tiɹogoli
bunoɹeɹu	bunoɹeɹu
dilinuli	dilinuli
guɹiniɹu	guɹiniɹu
duteɹiɹu	duteɹiɹu
deɹidiɹu	deɹidiɹu
kiɹokoɹu	kiɹokoɹu
pekololi	pekololi
nugiɹiɹu	nugiɹiɹu
gilikoli	gilikoli
buboɹuɹu	buboɹuɹu
pumoɹeli	pumoleli
deɹogiɹu	deɹogiɹu
giɹunoɹu	giɹunoɹu
gimiɹeɹu	gimiɹeɹu
dilinuɹu	dilinuɹu
nelopili	nelopili
geleboɹu	geleboɹu
pekoloɹu	pekoɹoɹu
dolubuɹu	dolubuɹu
giguɹiɹu	giguɹiɹu
doteloɹu	doteɹoɹu
goluboɹu	goluboɹu
polibiɹu	polibiɹu
peɹikuɹu	peɹikuɹu
notuloli	notuloli
bepeloli	bepeloli
gilotoli	gilotoli
mulimoɹu	mulimoɹu
puɹumoɹu	puɹumoɹu
mepuɹiɹu	mepuɹiɹu
tebiɹoli	tebiloli
pulekeɹu	pulekeɹu
boɹoboɹu	boɹoboɹu
goluboli	goluboli
nubiloli	nubiloli
poneleli	poneleli
doteloli	doteloli
guɹinili	guɹinili
keɹemeli	keɹemeli
nuɹutili	nuɹutili
gelideli	gelideli
doɹugili	doɹugili
puɹimuli	puɹimuli
gelideɹu	gelideɹu
kuɹoniɹu	kuɹoniɹu
pumoɹili	pumolili
detoleɹu	detoɹeɹu
pepoɹoɹu	pepoɹoɹu
tebiluli	tebiluli
deɹidili	deɹidili
begeɹeɹu	begeɹeɹu
keliduɹu	keliduɹu
putoɹuɹu	putoɹuɹu
gemoɹili	gemolili
duteɹili	dutelili
polideɹu	polideɹu
molokeli	molokeli
mitululi	mitululi
buɹebili	buɹebili
geɹepoli	geɹepoli
motileli	motileli
nogoɹeli	nogoleli
nigilili	nigilili
diniliɹu	diniɹiɹu
ponoɹuli	ponoluli
nemiɹili	nemilili
deɹumoɹu	deɹumoɹu
putoɹuli	putoluli
gitiluɹu	gitiɹuɹu
tulukeɹu	tulukeɹu
deɹogili	deɹogili
bepeloɹu	bepeɹoɹu
mituluɹu	mituɹuɹu
tolodiɹu	tolodiɹu
pokeɹuli	pokeluli
dekeliɹu	dekeɹiɹu
neɹitoɹu	neɹitoɹu
tutelili	tutelili
mukileli	mukileli
miɹekeli	miɹekeli
nilunuɹu	nilunuɹu
nelumuɹu	nelumuɹu
nideɹeli	nideleli
tiɹidoɹu	tiɹidoɹu
kipuloɹu	kipuɹoɹu
negeɹili	negelili
mimiɹuli	mimiluli
nulobili	nulobili
numiɹuɹu	numiɹuɹu
tomileɹu	tomiɹeɹu
numiɹuli	numiluli
buboɹuli	buboluli
kediloli	kediloli
digiɹuli	digiluli
kulebeɹu	kulebeɹu
dumilili	dumilili
boduɹeli	boduleli
guɹogoɹu	guɹogoɹu
kulebeli	kulebeli
kelopiɹu	kelopiɹu
puɹimuɹu	puɹimuɹu
nolineli	nolineli
tuteliɹu	tuteɹiɹu
miletuli	miletuli
poneleɹu	poneɹeɹu
nideɹeɹu	nideɹeɹu
butuɹoɹu	butuɹoɹu
nolineɹu	nolineɹu
nuguɹeɹu	nuguɹeɹu
teniɹiɹu	teniɹiɹu
telegeli	telegeli
kuɹikuɹu	kuɹikuɹu
diniɹeli	dinileli
mimiɹuɹu	mimiɹuɹu
diniɹeɹu	diniɹeɹu
delikuli	delikuli
toduɹeɹu	toduɹeɹu
bipiliɹu	bipiɹiɹu
tipeleɹu	tipeɹeɹu
delipuli	delipuli
meɹemuli	meɹemuli
pemileli	pemileli
gupuluɹu	gupuɹuɹu
telegeɹu	telegeɹu
peɹopili	peɹopili
gilotoɹu	gilotoɹu
nomoluɹu	nomoɹuɹu
kidiɹoli	kidiloli
buɹebiɹu	buɹebiɹu
beɹumeɹu	beɹumeɹu
nigoliɹu	nigoɹiɹu
miɹekeɹu	miɹekeɹu
gemoɹiɹu	gemoɹiɹu
butiɹoɹu	butiɹoɹu
guɹimuli	guɹimuli
butiɹoli	butiloli
getolili	getolili
nimoloɹu	nimoɹoɹu
meɹonoɹu	meɹonoɹu
neɹitoli	neɹitoli
gelutoli	gelutoli
kilikuli	kilikuli
kuɹikuli	kuɹikuli
piɹiduli	piɹiduli
bepeliɹu	bepeɹiɹu
tulekeɹu	tulekeɹu
toɹopeɹu	toɹopeɹu
kilikuɹu	kilikuɹu
boɹoboli	boɹoboli
negeɹiɹu	negeɹiɹu
teniɹili	tenilili
bebuliɹu	bebuɹiɹu
geleboli	geleboli
duɹukili	duɹukili
melipeli	melipeli
bipilili	bipilili
tenululi	tenululi
bunoɹili	bunolili
giɹimuɹu	giɹimuɹu
gilodiɹu	gilodiɹu
tulukeli	tulukeli
tiɹogoɹu	tiɹogoɹu
temoluli	temoluli
diɹemiɹu	diɹemiɹu
pulekeli	pulekeli
gopeleli	gopeleli
toboɹeli	toboleli
numiluɹu	numiɹuɹu
gekuɹoli	gekuloli
gilikoɹu	gilikoɹu
poniɹoli	poniloli
niɹinili	niɹinili
kiɹokoli	kiɹokoli
tulekeli	tulekeli
tudoɹoli	tudololi
keliduli	keliduli
piniluli	piniluli
polibili	polibili
nutoɹeli	nutoleli
gelopili	gelopili
mukileɹu	mukiɹeɹu
mimoluɹu	mimoɹuɹu
deɹiboɹu	deɹiboɹu
mudoɹeɹu	mudoɹeɹu
melumeɹu	melumeɹu
beduɹeli	beduleli
gimuɹuli	gimululi
tomileli	tomileli
pumoɹiɹu	pumoɹiɹu
biɹukoɹu	biɹukoɹu
putiluli	putiluli
guɹogoli	guɹogoli
gekuɹoɹu	gekuɹoɹu
mepuɹili	mepulili
melipeɹu	melipeɹu
geɹepoɹu	geɹepoɹu
peɹopiɹu	peɹopiɹu
dinoɹeɹu	dinoɹeɹu
gelutoɹu	gelutoɹu
nugiɹili	nugilili
geɹemuɹu	geɹemuɹu
bilegoli	bilegoli
geɹidili	geɹidili
dekelili	dekelili
detoleli	detoleli
boduɹeɹu	boduɹeɹu
putiluɹu	putiɹuɹu
tudoɹoɹu	tudoɹoɹu
polideli	polideli
mulodeɹu	mulodeɹu
temoluɹu	temoɹuɹu
noɹigiɹu	noɹigiɹu
gigoɹiɹu	gigoɹiɹu
tugiɹoɹu	tugiɹoɹu
kuɹonili	kuɹonili
dikuɹili	dikulili
gigoɹili	gigolili
niɹiniɹu	niɹiniɹu
tiɹidoli	tiɹidoli
geɹekuɹu	geɹekuɹu
nomoluli	nomoluli
melumeli	melumeli
niboleɹu	niboɹeɹu
delipuɹu	delipuɹu
diɹemili	diɹemili
tilomiɹu	tilomiɹu
mulodeli	mulodeli
gubulili	gubulili
gimuɹuɹu	gimuɹuɹu
beluteɹu	beluteɹu
niɹepili	niɹepili
kodoliɹu	kodoɹiɹu
gelopiɹu	gelopiɹu
dulekoɹu	dulekoɹu
poniɹoɹu	poniɹoɹu
beluteli	beluteli
giguɹili	gigulili
mimoluli	mimoluli
bipileli	bipileli
nemiɹiɹu	nemiɹiɹu
kukiɹili	kukilili
nutoɹeɹu	nutoɹeɹu
ponoɹuɹu	ponoɹuɹu
nogoɹeɹu	nogoɹeɹu
beduɹeɹu	beduɹeɹu
piɹiduɹu	piɹiduɹu
moɹudoɹu	moɹudoɹu
gelonoɹu	gelonoɹu
kiɹebiɹu	kiɹebiɹu
kelopili	kelopili
notuloɹu	notuɹoɹu
nubiloɹu	nubiɹoɹu
giɹimuli	giɹimuli
golukiɹu	golukiɹu
motileɹu	motiɹeɹu
belukoli	belukoli
gopeleɹu	gopeɹeɹu
toluduɹu	toluduɹu
gobiɹeli	gobileli
mudoɹeli	mudoleli
mepeleli	mepeleli
nuguɹeli	nuguleli
noduɹuli	nodululi
deɹumoli	deɹumoli
dulekoli	dulekoli
bunoɹeli	bunoleli
duɹipili	duɹipili
toluduli	toluduli
duɹukiɹu	duɹukiɹu
golukili	golukili
molokeɹu	molokeɹu
tolodili	tolodili
