uf	pred	sf
vɑlmistUsvɑiheissA	vɑlmistusvɑiheissæ	vɑlmistusvɑiheissɑ
puimuriA	puimuriæ	puimuriɑ
sulkijAn	sulkijæn	sulkijɑn
britɑnniɑlAisten	britɑnniɑlæisten	britɑnniɑlɑisten
nimitUksestAAn	nimituksestɑɑn	nimityksestææn
pæænkivistUstA	pæænkivistustɑ	pæænkivistystæ
lɑihempiA	lɑihempiæ	lɑihempiɑ
polyfonistA	polyfonistæ	polyfonistɑ
tɑlousuutisissA	tɑlousuutisissæ	tɑlousuutisissɑ
tuotɑntosuunnissA	tuotɑntosuunnissæ	tuotɑntosuunnissɑ
huojuivAt	huojuivæt	huojuivɑt
koulutettAvinA	koulutettævinæ	koulutettɑvinɑ
liikuntAjohtɑjAksi	liikuntɑjohtɑjæksi	liikuntɑjohtɑjɑksi
pistetUt	pistetut	pistetyt
pælkæhtænUt	pælkæhtænut	pælkæhtænyt
syntyɑjoiltA	syntyɑjoiltæ	syntyɑjoiltɑ
turistikohteistA	turistikohteistæ	turistikohteistɑ
vɑltɑmerentɑkɑisiA	vɑltɑmerentɑkɑisiæ	vɑltɑmerentɑkɑisiɑ
beetɑkɑroteenillA	beetɑkɑroteenillæ	beetɑkɑroteenillɑ
luvɑttAisiin	luvɑttæisiin	luvɑttɑisiin
læhitɑloistA	læhitɑloistæ	læhitɑloistɑ
mullistɑmistA	mullistɑmistæ	mullistɑmistɑ
pidettUkAAn	pidettukɑɑn	pidettykææn
piirtæmistAAn	piirtæmistɑɑn	piirtæmistææn
velkɑjærjestelUllA	velkɑjærjestelullɑ	velkɑjærjestelyllæ
væliinputoɑjAryhmæ	væliinputoɑjæryhmæ	væliinputoɑjɑryhmæ
yønæytøksenA	yønæytøksenɑ	yønæytøksenæ
yøuniAni	yøuniæni	yøuniɑni
æænihɑrɑvoinA	æænihɑrɑvoinæ	æænihɑrɑvoinɑ
ɑrvostelijOillA	ɑrvostelijoillæ	ɑrvostelijoillɑ
ɑvɑintermejA	ɑvɑintermejɑ	ɑvɑintermejæ
eksotiikkɑAkin	eksotiikkɑækin	eksotiikkɑɑkin
hɑlventAisi	hɑlventæisi	hɑlventɑisi
hɑydnistA	hɑydnistæ	hɑydnistɑ
henkiløhɑɑstɑttelUillA	henkiløhɑɑstɑtteluillæ	henkiløhɑɑstɑtteluillɑ
kehuttAvAsti	kehuttɑvæsti	kehuttɑvɑsti
kotimɑisemiinsA	kotimɑisemiinsæ	kotimɑisemiinsɑ
loiskivAt	loiskivæt	loiskivɑt
mɑinostɑuluillA	mɑinostɑuluillæ	mɑinostɑuluillɑ
muutoksenhɑkuɑsteissA	muutoksenhɑkuɑsteissæ	muutoksenhɑkuɑsteissɑ
normɑɑlivɑrtɑloisiA	normɑɑlivɑrtɑloisiæ	normɑɑlivɑrtɑloisiɑ
ohjɑilemistA	ohjɑilemistæ	ohjɑilemistɑ
perinteitAkAAn	perinteitɑkɑɑn	perinteitækææn
postinjɑkoɑlueittAin	postinjɑkoɑlueittæin	postinjɑkoɑlueittɑin
punɑmultɑmɑɑliA	punɑmultɑmɑɑliæ	punɑmultɑmɑɑliɑ
selviæisikO	selviæisiko	selviæisikø
syøpæyhdistUsten	syøpæyhdistusten	syøpæyhdistysten
tukkuriltA	tukkuriltæ	tukkuriltɑ
tuomioistuinkæsittelUjA	tuomioistuinkæsittelujɑ	tuomioistuinkæsittelyjæ
tuotɑntovɑikeUksistA	tuotɑntovɑikeuksistæ	tuotɑntovɑikeuksistɑ
vɑstɑɑnottɑessAni	vɑstɑɑnottɑessæni	vɑstɑɑnottɑessɑni
venælæisjoukoillA	venælæisjoukoillæ	venælæisjoukoillɑ
