uf	pred	sf
kuljetUsmææræt	kuljetysmææræt	kuljetusmææræt
pæivækirjɑmerkintOjen	pæivækirjɑmerkintojen	pæivækirjɑmerkintøjen
mɑɑnpæællisillA	mɑɑnpæællisillɑ	mɑɑnpæællisillæ
sopeutUvUUdestA	sopeutyvyydestɑ	sopeutuvuudestɑ
helppoUdelle	helppoydelle	helppoudelle
ilmɑpuolustUsliiton	ilmɑpuolustysliiton	ilmɑpuolustusliiton
konetyyppiA	konetyyppiɑ	konetyyppiæ
koreogrɑfiAkilpɑilUn	koreogrɑfiækilpɑilun	koreogrɑfiɑkilpɑilun
pienoissukellUsvene	pienoissukellysvene	pienoissukellusvene
puhɑllUkset	puhɑllykset	puhɑllukset
røntgensæteillA	røntgensæteillɑ	røntgensæteillæ
koulutettAvinA	koulutettævinɑ	koulutettɑvinɑ
lɑinɑttUihin	lɑinɑttyihin	lɑinɑttuihin
oivɑllettAvAksi	oivɑllettævæksi	oivɑllettɑvɑksi
pirstoUtUneiden	pirstoytyneiden	pirstoutuneiden
ylikorostUneen	ylikorostyneen	ylikorostuneen
jælkijættøiseltA	jælkijættøiseltɑ	jælkijættøiseltæ
leukemiɑtɑpɑUkset	leukemiɑtɑpɑykset	leukemiɑtɑpɑukset
lyhtypylvæissA	lyhtypylvæissɑ	lyhtypylvæissæ
mææræɑikɑistileillA	mææræɑikɑistileillɑ	mææræɑikɑistileillæ
oppimistAni	oppimistæni	oppimistɑni
pelɑstUsliittojen	pelɑstysliittojen	pelɑstusliittojen
pukeUtUmistiloissA	pukeytymistiloissɑ	pukeutumistiloissɑ
toimenpiteenAAn	toimenpiteenɑɑn	toimenpiteenææn
uudistUmisprosessin	uudistymisprosessin	uudistumisprosessin
uutislæhteenA	uutislæhteenɑ	uutislæhteenæ
velkɑjærjestelUllA	velkɑjærjestelullɑ	velkɑjærjestelyllæ
ɑvɑrUUsvirɑston	ɑvɑryysvirɑston	ɑvɑruusvirɑston
edustUskysymyksessA	edustyskysymyksessɑ	edustuskysymyksessæ
hɑlpɑmyyntiA	hɑlpɑmyyntiɑ	hɑlpɑmyyntiæ
heinAkɑnkɑɑntie	heinɑkɑnkɑɑntie	heinækɑnkɑɑntie
henkiløhɑɑstɑttelUillA	henkiløhɑɑstɑttelyillɑ	henkiløhɑɑstɑtteluillɑ
kɑlɑstUsrekisteriin	kɑlɑstysrekisteriin	kɑlɑstusrekisteriin
køøriA	køøriɑ	køøriæ
lɑɑdunpɑrɑnnUksen	lɑɑdunpɑrɑnnyksen	lɑɑdunpɑrɑnnuksen
lænsimæessA	lænsimæessɑ	lænsimæessæ
pɑnttioikeUteen	pɑnttioikeyteen	pɑnttioikeuteen
perinteitAkAAn	perinteitɑkɑɑn	perinteitækææn
pidættæmisessA	pidættæmisessɑ	pidættæmisessæ
pærjænneitA	pærjænneitɑ	pærjænneitæ
rɑhɑnkæyttøOnsA	rɑhɑnkæyttøonsɑ	rɑhɑnkæyttøønsæ
tɑlletUsvɑkuutUsten	tɑlletusvɑkuutysten	tɑlletusvɑkuutusten
tunkeUdUimme	tunkeydyimme	tunkeuduimme
tuomioistuinkæsittelUjA	tuomioistuinkæsittelujɑ	tuomioistuinkæsittelyjæ
tærvelemAstA	tærvelemɑstɑ	tærvelemæstæ
vɑnhentAneet	vɑnhentæneet	vɑnhentɑneet
vɑstɑɑnottɑessAni	vɑstɑɑnottɑessæni	vɑstɑɑnottɑessɑni
verotUksiin	verotyksiin	verotuksiin
yhdisteryhmiA	yhdisteryhmiɑ	yhdisteryhmiæ
