uf	pred	sf
mielipidekyselUUn	mielipidekyseluun	mielipidekyselyyn
pettymystAni	pettymystɑni	pettymystæni
rɑvintolisistA	rɑvintolisistɑ	rɑvintolisistæ
elæmAssAnne	elæmɑssɑnne	elæmæssænne
viimepæivinA	viimepæivinɑ	viimepæivinæ
retkeilUvɑrusteitA	retkeiluvɑrusteitɑ	retkeilyvɑrusteitɑ
edellytettUjen	edellytettujen	edellytettyjen
pistetUt	pistetut	pistetyt
rɑkennetyøttOmUUs	rɑkennetyøttomuus	rɑkennetyøttømyys
ylæhirrestA	ylæhirrestɑ	ylæhirrestæ
erillisinAkin	erillisinɑkin	erillisinækin
hyvitUksinA	hyvituksinɑ	hyvityksinæ
jæseneltAAn	jæseneltɑɑn	jæseneltææn
kylmenevAssA	kylmenevɑssɑ	kylmenevæssæ
lyhtypylvæissA	lyhtypylvæissɑ	lyhtypylvæissæ
mææræɑikɑistileillA	mææræɑikɑistileillɑ	mææræɑikɑistileillæ
pidettUkAAn	pidettukɑɑn	pidettykææn
uutislæhteenA	uutislæhteenɑ	uutislæhteenæ
vetæjApulɑ	vetæjɑpulɑ	vetæjæpulɑ
yksityiskæytøstA	yksityiskæytøstɑ	yksityiskæytøstæ
ærsyttæAkO	ærsyttææko	ærsyttæækø
edustUskysymyksessA	edustuskysymyksessɑ	edustuskysymyksessæ
itæhelsinkilAiset	itæhelsinkilɑiset	itæhelsinkilæiset
kɑnsɑnryhmissA	kɑnsɑnryhmissɑ	kɑnsɑnryhmissæ
keynesilAiset	keynesilɑiset	keynesilæiset
kulkuyhteydestA	kulkuyhteydestɑ	kulkuyhteydestæ
kyyhøttævAn	kyyhøttævɑn	kyyhøttævæn
læmææmAn	læmææmɑn	læmææmæn
læmææmAAn	læmææmɑɑn	læmææmææn
mosɑiikkitøitA	mosɑiikkitøitɑ	mosɑiikkitøitæ
pitæjAnkɑrttAAn	pitæjɑnkɑrttɑɑn	pitæjænkɑrttɑɑn
pææhenkiløissA	pææhenkiløissɑ	pææhenkiløissæ
rɑhɑnkæyttøOnsA	rɑhɑnkæyttøonsɑ	rɑhɑnkæyttøønsæ
syøpæyhdistUsten	syøpæyhdistusten	syøpæyhdistysten
sædekehænA	sædekehænɑ	sædekehænæ
tærkeimpiAkin	tærkeimpiɑkin	tærkeimpiækin
tærkeæmmiltA	tærkeæmmiltɑ	tærkeæmmiltæ
tærvelemAstA	tærvelemɑstɑ	tærvelemæstæ
yhdisteryhmiA	yhdisteryhmiɑ	yhdisteryhmiæ
