uf	pred	sf
sɑɑtHn	sɑɑtɯn	sɑɑtin
ɑrkɑDA	ɑrkɑtɑ	ɑrkɑdɑ
hɑlHn	hɑlɯn	hɑlin
orɑDAn	orɑtɑn	orɑdɑn
burɑDAki	burɑdeki	burɑdɑki
hɑvɑDA	hɑvɑtɑ	hɑvɑdɑ
ɑjHHn	ɑjuun	ɑjɯɯn
sɑjfɑDA	sɑjfɑtɑ	sɑjfɑdɑ
sɑnADA	sɑnɑtɑ	sɑnɑdɑ
gɑrɑʒDA	gɑrɑʒtɑ	gɑrɑʒdɑ
ɑrkɑDAn	ɑrkɑtɑn	ɑrkɑdɑn
ʧorbɑDAn	ʧorbɑtɑn	ʧorbɑdɑn
bɑnjoDA	bɑnjotɑ	bɑnjodɑ
sofrɑDA	sofrɑtɑ	sofrɑdɑ
hɑlH	hɑlɯ	hɑli
ɑrkɑDAki	ɑrkɑdeki	ɑrkɑdɑki
ortɑDAn	ortɑtɑn	ortɑdɑn
sɑɑtmH	sɑɑtmɯ	sɑɑtmi
bɑʃmHzA	bɑʃmize	bɑʃmɯzɑ
hɑlɑDA	hɑlɑtɑ	hɑlɑdɑ
ɑmʤɑnHzA	ɑmʤɑnize	ɑmʤɑnɯzɑ
mɑmɑDA	mɑmɑtɑ	mɑmɑdɑ
hɑvɑDAn	hɑvɑtɑn	hɑvɑdɑn
burɑDAkilAr	burɑdekiler	burɑdɑkiler
