uf	pred	sf
ɑrɑDA	ɑrɑtɑ	ɑrɑdɑ
burɑDAki	burɑdeki	burɑdɑki
ɑjHHn	ɑjuun	ɑjɯɯn
dikkɑtlH	dikkɑtlɯ	dikkɑtli
silAlHm	silɑlɯm	silelim
sɑjfɑDA	sɑjfɑtɑ	sɑjfɑdɑ
sɑnADA	sɑnɑtɑ	sɑnɑdɑ
ɑrkɑDAn	ɑrkɑtɑn	ɑrkɑdɑn
ʧorbɑDAn	ʧorbɑtɑn	ʧorbɑdɑn
gitDHkDAn	gitdikten	gittikten
ɑrkɑDAki	ɑrkɑdeki	ɑrkɑdɑki
konuʃmADAn	konuʃmɑtɑn	konuʃmɑdɑn
bɑbɑHnki	bɑbɑinki	bɑbɑɯnki
ortɑDAn	ortɑtɑn	ortɑdɑn
sɑɑtmH	sɑɑtmɯ	sɑɑtmi
bɑʃmHzA	bɑʃmize	bɑʃmɯzɑ
hɑlɑDA	hɑlɑtɑ	hɑlɑdɑ
ɑmʤɑnHzA	ɑmʤɑnize	ɑmʤɑnɯzɑ
mɑmɑDA	mɑmɑtɑ	mɑmɑdɑ
hɑvɑDAn	hɑvɑtɑn	hɑvɑdɑn
burɑDAkilAr	burɑdekiler	burɑdɑkiler
miDAn	miten	miden
bɯrɑkmADAn	bɯrɑkmɑtɑn	bɯrɑkmɑdɑn
ʧɑrpmɑDAn	ʧɑrpmɑtɑn	ʧɑrpmɑdɑn
mɑmɑDAn	mɑmɑtɑn	mɑmɑdɑn
getirAlHm	getirɑlɯm	getirelim
