uf	pred	sf
olmA	olme	olmɑ
kurulH	kuruli	kurulu
olmAH	olmei	olmɑɯ
fɑrklH	fɑrkli	fɑrklɯ
bɑʃkɑnH	bɑʃkɑni	bɑʃkɑnɯ
olmAAn	olmeen	olmɑɑn
oHn	oin	oun
durumDA	durumde	durumdɑ
jɑpAn	jɑpen	jɑpɑn
jɯlH	jɯli	jɯlɯ
mejdɑnA	mejdɑne	mejdɑnɑ
jolH	joli	jolu
hɯzlH	hɯzli	hɯzlɯ
ɑʃɑɰɯDAki	ɑʃɑɰɯdeki	ɑʃɑɰɯdɑki
durumH	durumi	durumu
ʧɯkAn	ʧɯken	ʧɯkɑn
ʧɑlɯʃAn	ʧɑlɯʃen	ʧɑlɯʃɑn
hɑklArH	hɑkleri	hɑklɑrɯ
ɑlɑnDA	ɑlɑnde	ɑlɑndɑ
dynjɑDA	dynjɑde	dynjɑdɑ
insɑnlAr	insɑnler	insɑnlɑr
yʧnʤH	yʧnʤi	yʧnʤy
kullɑnɯmH	kullɑnɯmi	kullɑnɯmɯ
sɑjɯDA	sɑjɯde	sɑjɯdɑ
ɑlɑnH	ɑlɑni	ɑlɑnɯ
ɑrɑH	ɑrɑi	ɑrɑɯ
kullɑnArAk	kullɑnerek	kullɑnɑrɑk
jɑnH	jɑni	jɑnɯ
sɑɰlɯklH	sɑɰlɯkli	sɑɰlɯklɯ
jɑnDAn	jɑnden	jɑndɑn
korumA	korume	korumɑ
kullAnHʤH	kulleniʤi	kullɑnɯʤɯ
ɑlɯnmAH	ɑlɯnmei	ɑlɯnmɑɯ
insɑnlArHn	insɑnlerin	insɑnlɑrɯn
orɑnH	orɑni	orɑnɯ
jukɑrɯDA	jukɑrɯde	jukɑrɯdɑ
olmA	olme	olmɑ
toplumsAl	toplumsel	toplumsɑl
kodH	kodi	kodu
sonA	sone	sonɑ
rɑporH	rɑpori	rɑporu
dɯʃH	dɯʃi	dɯʃɯ
ortɑDAn	ortɑden	ortɑdɑn
ɑlɯnArAk	ɑlɯnerek	ɑlɯnɑrɑk
sorumlH	sorumli	sorumlu
gynmHzDA	gynmizde	gynmyzde
ʧoʤuklAr	ʧoʤukler	ʧoʤuklɑr
bɑnkɑH	bɑnkɑi	bɑnkɑɯ
kimjɑsAl	kimjɑsel	kimjɑsɑl
ɑlArAk	ɑlerek	ɑlɑrɑk
konulArDA	konulerde	konulɑrdɑ
kɑnunHn	kɑnunin	kɑnunun
dɑlH	dɑli	dɑlɯ
kɑjnɑklArH	kɑjnɑkleri	kɑjnɑklɑrɯ
sonuʧlArH	sonuʧleri	sonuʧlɑrɯ
ʧɑlɯʃmAH	ʧɑlɯʃmei	ʧɑlɯʃmɑɯ
hɑlkHn	hɑlkin	hɑlkɯn
bɑʃDA	bɑʃte	bɑʃtɑ
hɑstɑHn	hɑstɑin	hɑstɑɯn
kɑrtH	kɑrti	kɑrtɯ
sonH	soni	sonu
toplumHn	toplumin	toplumun
insɑnHn	insɑnin	insɑnɯn
ɑlɑnlArH	ɑlɑnleri	ɑlɑnlɑrɯ
ɑnlɑmDA	ɑnlɑmde	ɑnlɑmdɑ
orɑDA	orɑde	orɑdɑ
hɑzɯrlAnAn	hɑzɯrlenen	hɑzɯrlɑnɑn
odɑH	odɑi	odɑɯ
formH	formi	formu
progrɑmlArH	progrɑmleri	progrɑmlɑrɯ
ʧoʤuklArHn	ʧoʤuklerin	ʧoʤuklɑrɯn
sɑvunmA	sɑvunme	sɑvunmɑ
bɑkɑnH	bɑkɑni	bɑkɑnɯ
doɰAn	doɰen	doɰɑn
sɯrɑDA	sɯrɑde	sɯrɑdɑ
bɑkɑnlAr	bɑkɑnler	bɑkɑnlɑr
durumA	durume	durumɑ
ortɑmDA	ortɑmde	ortɑmdɑ
jɑpArAk	jɑperek	jɑpɑrɑk
ɑʧɯDAn	ɑʧɯden	ɑʧɯdɑn
kurumsAl	kurumsel	kurumsɑl
jɯlHn	jɯlin	jɯlɯn
ɑjrɯntɯlH	ɑjrɯntɯli	ɑjrɯntɯlɯ
jukɑrɯDAki	jukɑrɯdeki	jukɑrɯdɑki
ɑjH	ɑji	ɑjɯ
ɑlɑnA	ɑlɑne	ɑlɑnɑ
bulunmAH	bulunmei	bulunmɑɯ
ujgulɑmɑH	ujgulɑmɑi	ujgulɑmɑɯ
kullɑnmA	kullɑnme	kullɑnmɑ
tyrH	tyri	tyry
sonuʧlAr	sonuʧler	sonuʧlɑr
burɑDAn	burɑden	burɑdɑn
jolA	jole	jolɑ
progrɑmHn	progrɑmin	progrɑmɯn
sɑjɯsAl	sɑjɯsel	sɑjɯsɑl
konuʃmA	konuʃme	konuʃmɑ
komisjonH	komisjoni	komisjonu
olmADAn	olmeden	olmɑdɑn
