uf	pred	sf
tɑrinoillAAn	tɑrinoillææn	tɑrinoillɑɑn
kɑɑmeUdessAAn	kɑɑmeudessææn	kɑɑmeudessɑɑn
pæænkivistUstA	pæænkivistustɑ	pæænkivistystæ
eleensA	eleensɑ	eleensæ
hɑkuominɑisUUksiA	hɑkuominɑisyyksiɑ	hɑkuominɑisuuksiɑ
mɑnttelinperijOitA	mɑnttelinperijoitɑ	mɑnttelinperijøitæ
berberiA	berberiɑ	berberiæ
hɑllintoihmisiA	hɑllintoihmisiɑ	hɑllintoihmisiæ
koulutovereiltAAn	koulutovereiltææn	koulutovereiltɑɑn
ylæhirrestA	ylæhirrestɑ	ylæhirrestæ
ɑinekseltAAn	ɑinekseltææn	ɑinekseltɑɑn
erillisinAkin	erillisinɑkin	erillisinækin
hyvitUksinA	hyvituksinɑ	hyvityksinæ
jælkijættøiseltA	jælkijættøiseltɑ	jælkijættøiseltæ
lyhtypylvæissA	lyhtypylvæissɑ	lyhtypylvæissæ
mææræisinA	mææræisinɑ	mææræisinæ
uutislæhteenA	uutislæhteenɑ	uutislæhteenæ
yønæytøksenA	yønæytøksenɑ	yønæytøksenæ
edustUskysymyksessA	edustuskysymyksessɑ	edustuskysymyksessæ
hɑlpɑmyyntiA	hɑlpɑmyyntiɑ	hɑlpɑmyyntiæ
heinAkɑnkɑɑntie	heinɑkɑnkɑɑntie	heinækɑnkɑɑntie
kɑnsɑnryhmissA	kɑnsɑnryhmissɑ	kɑnsɑnryhmissæ
keynesilAiset	keynesilɑiset	keynesilæiset
perinteitAkAAn	perinteitɑkɑɑn	perinteitækææn
pidættæmisessA	pidættæmisessɑ	pidættæmisessæ
pikkuleivistA	pikkuleivistɑ	pikkuleivistæ
selviæisikO	selviæisiko	selviæisikø
syøpæyhdistUsten	syøpæyhdistusten	syøpæyhdistysten
sæilytellA	sæilytellɑ	sæilytellæ
tuomioistuinkæsittelUjA	tuomioistuinkæsittelujɑ	tuomioistuinkæsittelyjæ
tærkeimpiAkin	tærkeimpiɑkin	tærkeimpiækin
vɑnhentAneet	vɑnhentæneet	vɑnhentɑneet
