uf	pred	sf
hyvitettAvA	hyvitettɑvɑ	hyvitettævæ
jæædytettAisiin	jæædytettɑisiin	jæædytettæisiin
rɑvintolisistA	rɑvintolisistɑ	rɑvintolisistæ
pæænkivistUstA	pæænkivistustɑ	pæænkivistystæ
edellytettUjen	edellytettujen	edellytettyjen
etsintAkuulutUkset	etsintɑkuulutukset	etsintækuulutukset
kɑksinɑpɑisUUs	kɑksinɑpɑisyys	kɑksinɑpɑisuus
lɑttiɑlæmmitUksestA	lɑttiɑlæmmituksestɑ	lɑttiɑlæmmityksestæ
ɑinekseltAAn	ɑinekseltææn	ɑinekseltɑɑn
erillisinAkin	erillisinɑkin	erillisinækin
myrkkysæiliøitA	myrkkysæiliøitɑ	myrkkysæiliøitæ
mææræɑikɑistileillA	mææræɑikɑistileillɑ	mææræɑikɑistileillæ
orkesterisæestUksen	orkesterisæestuksen	orkesterisæestyksen
uutislæhteenA	uutislæhteenɑ	uutislæhteenæ
vɑihtopisteitA	vɑihtopisteitɑ	vɑihtopisteitæ
væliinputoɑjAryhmæ	væliinputoɑjæryhmæ	væliinputoɑjɑryhmæ
hɑlpɑmyyntiA	hɑlpɑmyyntiɑ	hɑlpɑmyyntiæ
heinAkɑnkɑɑntie	heinɑkɑnkɑɑntie	heinækɑnkɑɑntie
itæhelsinkilAiset	itæhelsinkilɑiset	itæhelsinkilæiset
keynesilAiset	keynesilɑiset	keynesilæiset
kulkuyhteydestA	kulkuyhteydestɑ	kulkuyhteydestæ
køøriA	køøriɑ	køøriæ
lisævesiA	lisævesiɑ	lisævesiæ
lomitUstehtæviA	lomitustehtæviɑ	lomitustehtæviæ
mosɑiikkitøitA	mosɑiikkitøitɑ	mosɑiikkitøitæ
perinteitAkAAn	perinteitɑkɑɑn	perinteitækææn
pikkuleivistA	pikkuleivistɑ	pikkuleivistæ
pyrkimyksillAmme	pyrkimyksillɑmme	pyrkimyksillæmme
pærjænneitA	pærjænneitɑ	pærjænneitæ
selviæisikO	selviæisiko	selviæisikø
tuomioistuinkæsittelUjA	tuomioistuinkæsittelujɑ	tuomioistuinkæsittelyjæ
yhdisteryhmiA	yhdisteryhmiɑ	yhdisteryhmiæ
