uf	pred	sf
hyvitettAvA	hyvitettɑvɑ	hyvitettævæ
neuvontɑtoimistoOn	neuvontɑtoimistoɑn	neuvontɑtoimistoon
kerææmAni	kerææmɑni	kerææmæni
kestævUUdestAAn	kestævuudestɑɑn	kestævyydestææn
jæædytettAisiin	jæædytettɑisiin	jæædytettæisiin
pettymystAni	pettymystɑni	pettymystæni
rɑvintolisistA	rɑvintolisistɑ	rɑvintolisistæ
pæænkivistUstA	pæænkivistustɑ	pæænkivistystæ
ærsyttæmAllA	ærsyttæmɑllɑ	ærsyttæmællæ
edellytettUjen	edellytettujen	edellytettyjen
etsintAkuulutUkset	etsintɑkuulutukset	etsintækuulutukset
lɑttiɑlæmmitUksestA	lɑttiɑlæmmituksestɑ	lɑttiɑlæmmityksestæ
vertɑilUɑrvoOn	vertɑiluɑrvoɑn	vertɑiluɑrvoon
erillisinAkin	erillisinɑkin	erillisinækin
imusolmukesyøpæA	imusolmukesyøpæɑ	imusolmukesyøpææ
jæseneltAAn	jæseneltɑɑn	jæseneltææn
myrkkysæiliøitA	myrkkysæiliøitɑ	myrkkysæiliøitæ
mææræɑikɑistileillA	mææræɑikɑistileillɑ	mææræɑikɑistileillæ
orkesterisæestUksen	orkesterisæestuksen	orkesterisæestyksen
uutislæhteenA	uutislæhteenɑ	uutislæhteenæ
vɑihtopisteitA	vɑihtopisteitɑ	vɑihtopisteitæ
væhempAAnkin	væhempɑɑnkin	væhempæænkin
hɑlpɑmyyntiA	hɑlpɑmyyntiɑ	hɑlpɑmyyntiæ
heinAkɑnkɑɑntie	heinɑkɑnkɑɑntie	heinækɑnkɑɑntie
itæhelsinkilAiset	itæhelsinkilɑiset	itæhelsinkilæiset
keynesilAiset	keynesilɑiset	keynesilæiset
kulkuyhteydestA	kulkuyhteydestɑ	kulkuyhteydestæ
køøriA	køøriɑ	køøriæ
lɑkkɑɑmAttOmAt	lɑkkɑɑmɑttɑmɑt	lɑkkɑɑmɑttomɑt
lisævesiA	lisævesiɑ	lisævesiæ
lomitUstehtæviA	lomitustehtæviɑ	lomitustehtæviæ
læmææmAAn	læmææmɑɑn	læmææmææn
mɑɑlɑɑkO	mɑɑlɑɑkɑ	mɑɑlɑɑko
mosɑiikkitøitA	mosɑiikkitøitɑ	mosɑiikkitøitæ
perinteitAkAAn	perinteitɑkɑɑn	perinteitækææn
pikkuleivistA	pikkuleivistɑ	pikkuleivistæ
pitæjAnkɑrttAAn	pitæjɑnkɑrttɑɑn	pitæjænkɑrttɑɑn
pyrkimyksillAmme	pyrkimyksillɑmme	pyrkimyksillæmme
pærjænneitA	pærjænneitɑ	pærjænneitæ
selviæisikO	selviæisikɑ	selviæisikø
tuomioistuinkæsittelUjA	tuomioistuinkæsittelujɑ	tuomioistuinkæsittelyjæ
yhdisteryhmiA	yhdisteryhmiɑ	yhdisteryhmiæ
