uf	pred	sf
fɑrklH	fɑrkli	fɑrklɯ
ɑdH	ɑdi	ɑdɯ
oHn	oin	oun
hɯzlH	hɯzli	hɯzlɯ
ɑʃɑɰɯDAki	ɑʃɑɰɯteki	ɑʃɑɰɯdɑki
ʧɯkAn	ʧɯken	ʧɯkɑn
ʧɑlɯʃmAlAr	ʧɑlɯʃmeler	ʧɑlɯʃmɑlɑr
dønemDA	dønemdɑ	dønemde
insɑnlAr	insɑnler	insɑnlɑr
yʧnʤH	yʧnʤi	yʧnʤy
jɯllArDA	jɯllerde	jɯllɑrdɑ
gørmA	gørmɑ	gørme
sɑɰlɯklH	sɑɰlɯkli	sɑɰlɯklɯ
mydyrH	mydyri	mydyry
tipH	tipu	tipi
deɰerlendirmA	deɰerlendirmɑ	deɰerlendirme
durumlArDA	durumlerde	durumlɑrdɑ
birAr	birɑr	birer
ølʧyDA	ølʧydɑ	ølʧyde
toplumsAl	toplumsel	toplumsɑl
kodH	kodi	kodu
ortɑDAn	ortɑden	ortɑdɑn
sorumlH	sorumli	sorumlu
gynmHzDA	gynmizde	gynmyzde
olDHklArH	oldɯkleri	olduklɑrɯ
geliʃmA	geliʃmɑ	geliʃme
kɑnunHn	kɑnunin	kɑnunun
kɑjnɑklArH	kɑjnɑkleri	kɑjnɑklɑrɯ
sonuʧlArH	sonuʧleri	sonuʧlɑrɯ
hɑlkHn	hɑlkin	hɑlkɯn
kɑrtH	kɑrti	kɑrtɯ
ermAnH	ermɑnɯ	ermeni
insɑnHn	insɑnin	insɑnɯn
ɑlɑnlArH	ɑlɑnleri	ɑlɑnlɑrɯ
dyzejDA	dyzejdɑ	dyzejde
progrɑmlArH	progrɑmleri	progrɑmlɑrɯ
iʃA	iʃɑ	iʃe
enstityH	enstityi	enstityy
ʧoʤuklArHn	ʧoʤuklerin	ʧoʤuklɑrɯn
ɑrtHʃ	ɑrtiʃ	ɑrtɯʃ
jɯllAr	jɯller	jɯllɑr
bɑkɑnlAr	bɑkɑnler	bɑkɑnlɑr
gynDA	gyndɑ	gynde
hɑstɑlArHn	hɑstɑlerin	hɑstɑlɑrɯn
ɑʧɯDAn	ɑʧɯden	ɑʧɯdɑn
kurumsAl	kurumsel	kurumsɑl
tɑʃɯAn	tɑʃɯen	tɑʃɯɑn
jukɑrɯDAki	jukɑrɯteki	jukɑrɯdɑki
bølymDA	bølymdɑ	bølymde
ujgulɑmɑlAr	ujgulɑmɑler	ujgulɑmɑlɑr
tyrH	tyri	tyry
sonuʧlAr	sonuʧler	sonuʧlɑr
burɑDAn	burɑden	burɑdɑn
progrɑmHn	progrɑmin	progrɑmɯn
hɑstɑlArDA	hɑstɑlɑrde	hɑstɑlɑrdɑ
olmADAn	olmɑden	olmɑdɑn
ønmHzDAki	ønmizteki	ønmyzdeki
hɑjɑtA	hɑjɑte	hɑjɑtɑ
ɑmɑʧlH	ɑmɑʧli	ɑmɑʧlɯ
jønDA	jøndɑ	jønde
kurulHHn	kuruliin	kuruluun
detɑjlH	detɑjli	detɑjlɯ
miktɑrDA	miktɑrde	miktɑrdɑ
kuruluʃlArH	kuruluʃleri	kuruluʃlɑrɯ
ujɑrHnʤA	ujɑrɯnʤe	ujɑrɯnʤɑ
sɯnɯrlH	sɯnɯrli	sɯnɯrlɯ
jɑjɯnlArH	jɑjɯnleri	jɑjɯnlɑrɯ
etmAA	etmɑɑ	etmee
kontrolH	kontrolu	kontroly
byjymA	byjymɑ	byjyme
ɑlHp	ɑlip	ɑlɯp
ujumlH	ujumli	ujumlu
ʧɯkHʃ	ʧɯkiʃ	ʧɯkɯʃ
tɑrihDAn	tɑrihden	tɑrihten
sektørH	sektøri	sektøry
ɑlɑnlArDA	ɑlɑnlerde	ɑlɑnlɑrdɑ
belirtAn	belirtɑn	belirten
dɑnɯʃmɑnlHk	dɑnɯʃmɑnlik	dɑnɯʃmɑnlɯk
hɑlkH	hɑlki	hɑlkɯ
ɑnlɑmlH	ɑnlɑmli	ɑnlɑmlɯ
uzmɑnlHk	uzmɑnlik	uzmɑnlɯk
hɑlkA	hɑlke	hɑlkɑ
koʃullArH	koʃulleri	koʃullɑrɯ
kuruluʃlAr	kuruluʃler	kuruluʃlɑr
ʃɑrtlArH	ʃɑrtleri	ʃɑrtlɑrɯ
sɯnɯrlArH	sɯnɯrleri	sɯnɯrlɑrɯ
søzH	søzi	søzy
jɑrɑrlH	jɑrɑrli	jɑrɑrlɯ
øɰrenmA	øɰrenmɑ	øɰrenme
firmɑlAr	firmɑler	firmɑlɑr
ɑrɑʃtɯrmAlAr	ɑrɑʃtɯrmeler	ɑrɑʃtɯrmɑlɑr
kurumlAr	kurumler	kurumlɑr
zɑmɑnlArDA	zɑmɑnlerde	zɑmɑnlɑrdɑ
ɑlɑnlAr	ɑlɑnler	ɑlɑnlɑr
hɑstɑlɯklArH	hɑstɑlɯkleri	hɑstɑlɯklɑrɯ
yrynH	yryni	yryny
hɑstɑlAr	hɑstɑler	hɑstɑlɑr
inʤelAnmAH	inʤelenmɑɯ	inʤelenmei
sɯnɑvH	sɯnɑvi	sɯnɑvɯ
kɑrɑrlAr	kɑrɑrler	kɑrɑrlɑr
ønDA	øndɑ	ønde
koruHʤH	koruiʤi	koruuʤu
firmɑlArHn	firmɑlerin	firmɑlɑrɯn
tɑrihDA	tɑrihdɑ	tɑrihte
getirmA	getirmɑ	getirme
olɑjlAr	olɑjler	olɑjlɑr
