uf	pred	sf
gynH	gyni	gyny
oHn	oin	oun
jolH	joli	jolu
hɯzlH	hɯzli	hɯzlɯ
biʧimDA	biʧimdɑ	biʧimde
hɑklArH	hɑkleri	hɑklɑrɯ
bilimsAl	bilimsɑl	bilimsel
vermA	vermɑ	verme
ɑdlH	ɑdli	ɑdlɯ
gørmA	gørmɑ	gørme
sɑɰlɯklH	sɑɰlɯkli	sɑɰlɯklɯ
tipH	tipɯ	tipi
insɑnlArHn	insɑnlerin	insɑnlɑrɯn
deɰerlendirmA	deɰerlendirmɑ	deɰerlendirme
durumlArDA	durumlerdɑ	durumlɑrdɑ
birAr	birɑr	birer
ølʧyDA	ølʧydɑ	ølʧyde
kurumH	kurumi	kurumu
sonA	sone	sonɑ
rɑporH	rɑpori	rɑporu
ortɑDAn	ortɑtɑn	ortɑdɑn
sorumlH	sorumli	sorumlu
sorunH	sorunɯ	sorunu
ujgulɑmɑlArH	ujgulɑmɑleri	ujgulɑmɑlɑrɯ
olDHklArH	oltikleri	olduklɑrɯ
kiʃisAl	kiʃisɑl	kiʃisel
geliʃmA	geliʃmɑ	geliʃme
kɑnunHn	kɑnunin	kɑnunun
yrynlAr	yrynlɑr	yrynler
kɑjnɑklArH	kɑjnɑkleri	kɑjnɑklɑrɯ
sonuʧlArH	sonuʧleri	sonuʧlɑrɯ
bɑʃDA	bɑʃte	bɑʃtɑ
kɑrtH	kɑrti	kɑrtɯ
toplumHn	toplumin	toplumun
ermAnH	ermɑnɯ	ermeni
ɑlɑnlArH	ɑlɑnleri	ɑlɑnlɑrɯ
progrɑmlArH	progrɑmleri	progrɑmlɑrɯ
birejsAl	birejsɑl	birejsel
kɑnunH	kɑnunɯ	kɑnunu
ʧoʤuklArHn	ʧoʤuklerin	ʧoʤuklɑrɯn
ylkelArDA	ylkelerdɑ	ylkelerde
gynDA	gyndɑ	gynde
hɑstɑlArHn	hɑstɑlerin	hɑstɑlɑrɯn
hepH	hepɯ	hepi
bølymDA	bølymdɑ	bølymde
genʧlHk	genʧlɯk	genʧlik
jolA	jole	jolɑ
progrɑmHn	progrɑmin	progrɑmɯn
gynlArDA	gynlɑrdɑ	gynlerde
geliʃmAlAr	geliʃmɑlɑr	geliʃmeler
ønmHzDAki	ønmizdeki	ønmyzdeki
vermA	vermɑ	verme
jønDA	jøndɑ	jønde
hɑllArDA	hɑllɑrdɑ	hɑllerde
etmAH	etmɑɯ	etmei
kurulHHn	kuruliin	kuruluun
detɑjlH	detɑjli	detɑjlɯ
ujɑrHnʤA	ujɑrɯnʤe	ujɑrɯnʤɑ
jɑjɯnlArH	jɑjɯnleri	jɑjɯnlɑrɯ
kontrolH	kontroli	kontroly
ʧɯkHʃ	ʧɯkiʃ	ʧɯkɯʃ
tɑrihDAn	tɑrihdɑn	tɑrihten
sektørH	sektøri	sektøry
belirtAn	belirtɑn	belirten
dɑnɯʃmɑnlHk	dɑnɯʃmɑnlik	dɑnɯʃmɑnlɯk
hɑlkH	hɑlki	hɑlkɯ
dɯʃɯnDAki	dɯʃɯnteki	dɯʃɯndɑki
jɑpDHklArH	jɑptikleri	jɑptɯklɑrɯ
bojH	bojɯ	boju
tɑrɑfDAn	tɑrɑften	tɑrɑftɑn
uzmɑnlHk	uzmɑnlik	uzmɑnlɯk
ʧɑlɯʃmAlArnA	ʧɑlɯʃmɑlerne	ʧɑlɯʃmɑlɑrnɑ
kuruluʃlAr	kuruluʃler	kuruluʃlɑr
ɑjDA	ɑjde	ɑjdɑ
ʃɑrtlArH	ʃɑrtleri	ʃɑrtlɑrɯ
sɯnɯrlArH	sɯnɯrleri	sɯnɯrlɑrɯ
søzH	søzɯ	søzy
jɑrɑrlH	jɑrɑrli	jɑrɑrlɯ
øɰrenmA	øɰrenmɑ	øɰrenme
kurumlAr	kurumler	kurumlɑr
hɑjɑtH	hɑjɑti	hɑjɑtɯ
kɑjɯtlH	kɑjɯtli	kɑjɯtlɯ
hɑstɑlɯklArH	hɑstɑlɯkleri	hɑstɑlɯklɑrɯ
gynHn	gynin	gynyn
yrynH	yryni	yryny
progrɑmlAr	progrɑmler	progrɑmlɑr
toplɑntɯA	toplɑntɯe	toplɑntɯɑ
ʧøzymH	ʧøzymi	ʧøzymy
ɑʧɯkʧA	ɑʧɯkʧe	ɑʧɯkʧɑ
inʤelAnmAH	inʤelenmɑɯ	inʤelenmei
sɯnɑvH	sɯnɑvi	sɯnɑvɯ
kɑrɑrlAr	kɑrɑrler	kɑrɑrlɑr
ønDA	øndɑ	ønde
koruHʤH	koruiʤi	koruuʤu
firmɑlArHn	firmɑlerin	firmɑlɑrɯn
