uf	pred	sf
sɑɑtHn	sɑɑtɯn	sɑɑtin
hɑlHn	hɑlɯn	hɑlin
burɑDAki	burɑdeki	burɑdɑki
ɑjdɯnlɯkDA	ɑjdɯnlɯkdɑ	ɑjdɯnlɯktɑ
kɑrɑnlɯkDA	kɑrɑnlɯkdɑ	kɑrɑnlɯktɑ
ɑʃɑɰɯDAki	ɑʃɑɰɯdeki	ɑʃɑɰɯdɑki
mutDA	mutdɑ	muttɑ
uzɑkDA	uzɑkdɑ	uzɑktɑ
soɰukDA	soɰukdɑ	soɰuktɑ
gitDHkDAn	gitdikden	gittikten
hɑlH	hɑlɯ	hɑli
ɑrkɑDAki	ɑrkɑdeki	ɑrkɑdɑki
uzɑkDAn	uzɑkdɑn	uzɑktɑn
sønDHkDAn	søndykden	søndykten
koltukDAn	koltukdɑn	koltuktɑn
verHʃDA	veriʃde	veriʃte
okulDAki	okuldeki	okuldɑki
tɑrɑfDAn	tɑrɑfdɑn	tɑrɑftɑn
bɑʃDAn	bɑʃdɑn	bɑʃtɑn
koʃmADAn	koʃmɑdɑn	koʃmɑtɑn
dudɑkDAn	dudɑkdɑn	dudɑktɑn
jɑnɑkDAn	jɑnɑkdɑn	jɑnɑktɑn
bebekDA	bebekde	bebekte
