uf	pred	sf
senDAn	senten	senden
evDAn	evten	evden
hɑlHn	hɑlɯn	hɑlin
ineklArDAn	ineklerten	ineklerden
dɯʃɑrɯDA	dɯʃɑrɯtɑ	dɯʃɑrɯdɑ
televizjonDA	televizjontɑ	televizjondɑ
resimDA	resimte	resimde
kɑrʃɯDA	kɑrʃɯtɑ	kɑrʃɯdɑ
kedilArDAn	kedilerten	kedilerden
sɑjfɑDA	sɑjfɑtɑ	sɑjfɑdɑ
sɑnADA	sɑnɑtɑ	sɑnɑdɑ
nerenDA	nerente	nerende
okulDAn	okultɑn	okuldɑn
dɑnDAn	dɑntɑn	dɑndɑn
ɑrkɑDAn	ɑrkɑtɑn	ɑrkɑdɑn
ʧorbɑDAn	ʧorbɑtɑn	ʧorbɑdɑn
sokɑklArDAn	sokɑklɑrtɑn	sokɑklɑrdɑn
bɑnjoDA	bɑnjotɑ	bɑnjodɑ
elmDAkinH	elmtekini	elmdekini
sofrɑDA	sofrɑtɑ	sofrɑdɑ
ɑʃɑɰɯDAki	ɑʃɑɰɯteki	ɑʃɑɰɯdɑki
evnHzDA	evnizte	evnizde
duvɑrDA	duvɑrtɑ	duvɑrdɑ
ojunʤɑkʧHDAn	ojunʤɑkʧɯtɑn	ojunʤɑkʧɯdɑn
ʧɑrʃɯDA	ʧɑrʃɯtɑ	ʧɑrʃɯdɑ
bɑkkɑlDAn	bɑkkɑltɑn	bɑkkɑldɑn
ojunʤɑklArDAn	ojunʤɑklɑrtɑn	ojunʤɑklɑrdɑn
odɑmDAn	odɑmtɑn	odɑmdɑn
ʤɑddeDA	ʤɑddete	ʤɑddede
ystynDAki	ystynteki	ystyndeki
ɑrkɑDAki	ɑrkɑteki	ɑrkɑdɑki
penʤereDAn	penʤereten	penʤereden
jolDA	joltɑ	joldɑ
bɑjlArDA	bɑjlɑrtɑ	bɑjlɑrdɑ
konuʃmADAn	konuʃmɑtɑn	konuʃmɑdɑn
gemilArDAn	gemilerten	gemilerden
kɑmjonDA	kɑmjontɑ	kɑmjondɑ
ortɑDAn	ortɑtɑn	ortɑdɑn
hɑlɑDA	hɑlɑtɑ	hɑlɑdɑ
ʧɑntɑmDAn	ʧɑntɑmtɑn	ʧɑntɑmdɑn
ɑrkɑmDA	ɑrkɑmtɑ	ɑrkɑmdɑ
køʃeDA	køʃete	køʃede
sevDHklArH	sevtikleri	sevdikleri
mɑmɑDA	mɑmɑtɑ	mɑmɑdɑ
burɑDAkilAr	burɑtekiler	burɑdɑkiler
miDAn	miten	miden
jɑnDAn	jɑntɑn	jɑndɑn
øtAnlArDAn	øtenlerten	øtenlerden
birɑzDA	birɑztɑ	birɑzdɑ
ʧɑrpmɑDAn	ʧɑrpmɑtɑn	ʧɑrpmɑdɑn
bunlArHDA	bunlɑrɯtɑ	bunlɑrɯdɑ
ɑjɑkkɑbɯlArHDA	ɑjɑkkɑbɯlɑrɯtɑ	ɑjɑkkɑbɯlɑrɯdɑ
ʃɑrkɯDA	ʃɑrkɯtɑ	ʃɑrkɯdɑ
gezmAADA	gezmeete	gezmeede
jɑnmDAn	jɑnmtɑn	jɑnmdɑn
sɑʧmDA	sɑʧmtɑ	sɑʧmdɑ
jɑnmDA	jɑnmtɑ	jɑnmdɑ
hemDA	hemte	hemde
mɑjmunDA	mɑjmuntɑ	mɑjmundɑ
