uf	pred	sf
ineklAr	ineklɑr	inekler
ɑnnenA	ɑnnenɑ	ɑnnene
bebeklAr	bebeklɑr	bebekler
kɑʧDA	kɑʧdɑ	kɑʧtɑ
ʃejlAr	ʃejlɑr	ʃejler
sɑɑtHn	sɑɑtɯn	sɑɑtin
kuʃH	kuʃɯ	kuʃu
jyzmA	jyzmɑ	jyzme
tepsiA	tepsiɑ	tepsie
jemekDA	jemekdɑ	jemekte
dɑireDA	dɑiredɑ	dɑirede
evDAn	evdɑn	evden
tekerleklArH	tekerleklɑri	tekerlekleri
resimlAr	resimlɑr	resimler
tejzelAr	tejzelɑr	tejzeler
ytylArH	ytylɑri	ytyleri
jemA	jemɑ	jeme
silmA	silmɑ	silme
køjDA	køjdɑ	køjde
ineklArDAn	ineklɑrdɑn	ineklerden
etmA	etmɑ	etme
kɑmjonH	kɑmjonɯ	kɑmjonu
trɑktørH	trɑktøri	trɑktøry
etmA	etmɑ	etme
renklArH	renklɑri	renkleri
ɑskerlAr	ɑskerlɑr	ɑskerler
gitmA	gitmɑ	gitme
berberA	berberɑ	berbere
dɑireA	dɑireɑ	dɑiree
dikkɑtlH	dikkɑtlɯ	dikkɑtli
birʃejA	birʃejɑ	birʃeje
pislHklArH	pisliklɑri	pislikleri
bɑloHn	bɑloɯn	bɑloun
nerenDA	nerendɑ	nerende
gøzlArHn	gøzlɑrin	gøzlerin
øpHnʤA	øpinʤɑ	øpynʤe
ɑnnelAr	ɑnnelɑr	ɑnneler
sytsHz	sytsiz	sytsyz
kyrkH	kyrki	kyrky
gørAlHm	gørɑlim	gørelim
otomobillAr	otomobillɑr	otomobiller
iʃɑretlArH	iʃɑretlɑri	iʃɑretleri
rɑdjoH	rɑdjoɯ	rɑdjou
dɑireDAn	dɑiredɑn	dɑireden
mikrofonH	mikrofoni	mikrofonu
deveA	deveɑ	devee
bɑrdɑkDAn	bɑrdɑkdɑn	bɑrdɑktɑn
tepelArDAn	tepelɑrdɑn	tepelerden
ɑbilAr	ɑbilɑr	ɑbiler
fillAr	fillɑr	filler
domuzH	domuzɯ	domuzu
iʃlArH	iʃlɑri	iʃleri
hɑvluH	hɑvluɯ	hɑvluu
gøtyrAlHm	gøtyrɑlim	gøtyrelim
jolHn	jolɯn	jolun
diʃʧiDA	diʃʧidɑ	diʃʧide
