uf	pred	sf
birʃejlAr	birʃejlɑr	birʃejler
vɑpurHn	vɑpurɯn	vɑpurun
dyʃmA	dyʃmɑ	dyʃme
bɑhʧeDA	bɑhʧedɑ	bɑhʧede
televizjonHn	televizjonin	televizjonun
otobysHn	otobysɯn	otobysyn
jerlAr	jerlɑr	jerler
gørHnʤA	gørinʤɑ	gørynʤe
bebeklArH	bebeklɑri	bebekleri
sɑɑtHn	sɑɑtɯn	sɑɑtin
misketlArH	misketlɑri	misketleri
syrmA	syrmɑ	syrme
søjleAlHm	søjleɑlim	søjleelim
jemekDA	jemekdɑ	jemekte
jemeklArH	jemeklɑri	jemekleri
bɑbɑɑnneA	bɑbɑɑnneɑ	bɑbɑɑnnee
tejzelAr	tejzelɑr	tejzeler
silmA	silmɑ	silme
elmA	elmɑ	elme
kutuH	kutuɯ	kutuu
ɑletlArH	ɑletlɑri	ɑletleri
trɑktørH	trɑktørɯ	trɑktøry
sɯnɯfDA	sɯnɯfdɑ	sɯnɯftɑ
kojHnʤA	kojɯnʤɑ	kojunʤɑ
renklArH	renklɑri	renkleri
okulH	okulɯ	okulu
resimDA	resimdɑ	resimde
jyzmeA	jyzmeɑ	jyzmee
birʃejA	birʃejɑ	birʃeje
silAlHm	silɑlim	silelim
pislHklArH	pisliklɑri	pislikleri
nerenDA	nerendɑ	nerende
gøzlArHn	gøzlɑrin	gøzlerin
kolH	kolɯ	kolu
ɑnnelAr	ɑnnelɑr	ɑnneler
sytsHz	sytsiz	sytsyz
kyrkH	kyrkɯ	kyrky
gørAlHm	gørɑlim	gørelim
iʃɑretlArH	iʃɑretlɑri	iʃɑretleri
rɑdjoH	rɑdjoɯ	rɑdjou
kɑrɑnlɯkDA	kɑrɑnlɯkdɑ	kɑrɑnlɯktɑ
dɑireDAn	dɑiredɑn	dɑireden
mikrofonH	mikrofoni	mikrofonu
bɑrdɑkDAn	bɑrdɑkdɑn	bɑrdɑktɑn
kutuH	kutuɯ	kutuu
ɑbilAr	ɑbilɑr	ɑbiler
fillAr	fillɑr	filler
fɑrelAr	fɑrelɑr	fɑreler
domuzH	domuzɯ	domuzu
gyllAr	gyllɑr	gyller
iʃlArH	iʃlɑri	iʃleri
gøtyrAlHm	gøtyrɑlim	gøtyrelim
pɑstɑhɑneDA	pɑstɑhɑnedɑ	pɑstɑhɑnede
evmHzA	evmizɑ	evmize
gørmA	gørmɑ	gørme
isimlArH	isimlɑri	isimleri
køjA	køjɑ	køje
ørtyH	ørtyi	ørtyy
køpryH	køpryɯ	køpryy
elmDAkinH	elmdɑkini	elmdekini
hepmHzA	hepmizɑ	hepmize
gøzlArH	gøzlɑri	gøzleri
kitɑpDAn	kitɑpdɑn	kitɑptɑn
pɑketDA	pɑketdɑ	pɑkette
mutDA	mutdɑ	muttɑ
ɑnneɑnnenA	ɑnneɑnnenɑ	ɑnneɑnnene
evnHzDA	evnizdɑ	evnizde
ɑletlArHn	ɑletlɑrin	ɑletlerin
kɑlemlArHn	kɑlemlɑrin	kɑlemlerin
gelAn	gelɑn	gelen
dedenA	dedenɑ	dedene
nɑmluH	nɑmluɯ	nɑmluu
geʧAn	geʧɑn	geʧen
ʃejA	ʃejɑ	ʃeje
gørmAAlH	gørmɑɑli	gørmeeli
syrHp	syrip	syryp
gøzlArmH	gøzlɑrmi	gøzlermi
øɰleDAn	øɰledɑn	øɰleden
sizDA	sizdɑ	sizde
gøtyrHnʤA	gøtyrinʤɑ	gøtyrynʤe
otobysA	otobysɑ	otobyse
