uf	pred	sf
ɑʧAlHm	ɑʧelim	ɑʧɑlɯm
ɑblɑHn	ɑblɑin	ɑblɑɯn
uʧAn	uʧen	uʧɑn
insɑnlAr	insɑnler	insɑnlɑr
ɑɰɑʧlAr	ɑɰɑʧler	ɑɰɑʧlɑr
zijɑnH	zijɑni	zijɑnɯ
ɑslɑnHn	ɑslɑnin	ɑslɑnɯn
pɑrkDA	pɑrkte	pɑrktɑ
ɑlmA	ɑlme	ɑlmɑ
tɑbɑnʤɑHn	tɑbɑnʤɑin	tɑbɑnʤɑɯn
sɑpH	sɑpi	sɑpɯ
tɑbɑnʤɑH	tɑbɑnʤɑi	tɑbɑnʤɑɯ
kɑpɯlArH	kɑpɯleri	kɑpɯlɑrɯ
vɑpurA	vɑpure	vɑpurɑ
ɑʃkmA	ɑʃkme	ɑʃkmɑ
jɑʃA	jɑʃe	jɑʃɑ
bojɑAlHm	bojɑɑlim	bojɑɑlɯm
sɑʧlArmH	sɑʧlermi	sɑʧlɑrmɯ
jɑɰHnʤA	jɑɰinʤe	jɑɰɯnʤɑ
bɑlkonA	bɑlkone	bɑlkonɑ
pɑntolonH	pɑntoloni	pɑntolonu
hɑvlAr	hɑvler	hɑvlɑr
kuʃlArHn	kuʃlerin	kuʃlɑrɯn
ɑtH	ɑti	ɑtɯ
insɑnH	insɑni	insɑnɯ
sɑlɯnʤɑklArA	sɑlɯnʤɑklere	sɑlɯnʤɑklɑrɑ
ojnɑmAm	ojnɑmem	ojnɑmɑm
ojunʤɑklArmH	ojunʤɑklermi	ojunʤɑklɑrmɯ
dɯʃɑrɯDA	dɯʃɑrɯde	dɯʃɑrɯdɑ
jɑrɑmɑzlHk	jɑrɑmɑzlik	jɑrɑmɑzlɯk
kɑpA	kɑpe	kɑpɑ
ormɑnA	ormɑne	ormɑnɑ
burɑDAki	burɑdeki	burɑdɑki
trɑktørH	trɑktøri	trɑktøry
ɑrkɑnDA	ɑrkɑnde	ɑrkɑndɑ
bɑvullAr	bɑvuller	bɑvullɑr
kɑrʃɯDA	kɑrʃɯde	kɑrʃɯdɑ
vɑpurlAr	vɑpurler	vɑpurlɑr
kɑnɑtlArHn	kɑnɑtlerin	kɑnɑtlɑrɯn
kɑrgɑH	kɑrgɑi	kɑrgɑɯ
bɑkmA	bɑkme	bɑkmɑ
ɑkʃɑmlAr	ɑkʃɑmler	ɑkʃɑmlɑr
kulA	kule	kulɑ
kɯrmA	kɯrme	kɯrmɑ
sɑʧmA	sɑʧme	sɑʧmɑ
ojnɑmAn	ojnɑmen	ojnɑmɑn
kɑlkmA	kɑlkme	kɑlkmɑ
sɑjfɑDA	sɑjfɑde	sɑjfɑdɑ
bejɑzH	bejɑzi	bejɑzɯ
ɯsɯrmA	ɯsɯrme	ɯsɯrmɑ
olH	oli	olu
ʧɑntɑnA	ʧɑntɑne	ʧɑntɑnɑ
jɑzmA	jɑzme	jɑzmɑ
ʤejlɑnlArHn	ʤejlɑnlerin	ʤejlɑnlɑrɯn
sɑʧlAr	sɑʧler	sɑʧlɑr
tɯrnɑklArHn	tɯrnɑklerin	tɯrnɑklɑrɯn
gɑrɑʒA	gɑrɑʒe	gɑrɑʒɑ
okulDAn	okulden	okuldɑn
kolH	koli	kolu
sɑɰA	sɑɰe	sɑɰɑ
solA	sole	solɑ
ɑrkɑDAn	ɑrkɑden	ɑrkɑdɑn
puɑnH	puɑni	puɑnɯ
mɑmɑH	mɑmɑi	mɑmɑɯ
rɑdjoH	rɑdjoi	rɑdjou
sigɑrɑmH	sigɑrɑmi	sigɑrɑmɯ
olmAHnʤA	olmeinʤe	olmɑɯnʤɑ
kɑrɑnlɯkDA	kɑrɑnlɯkte	kɑrɑnlɯktɑ
ɑrɑbɑmH	ɑrɑbɑmi	ɑrɑbɑmɯ
sokɑklArDAn	sokɑklerden	sokɑklɑrdɑn
mikrofonH	mikrofoni	mikrofonu
tɑʃlAr	tɑʃler	tɑʃlɑr
jorgɑnH	jorgɑni	jorgɑnɯ
jɑvrulArH	jɑvruleri	jɑvrulɑrɯ
ɯsɯrmAA	ɯsɯrmee	ɯsɯrmɑɑ
mɑkɑrɑnA	mɑkɑrɑne	mɑkɑrɑnɑ
ɑslɑnlAr	ɑslɑnler	ɑslɑnlɑr
tɯrnɑklArHHn	tɯrnɑkleriin	tɯrnɑklɑrɯɯn
jɑprɑklAr	jɑprɑkler	jɑprɑklɑr
ʧoʤuklArA	ʧoʤuklere	ʧoʤuklɑrɑ
bɑnjoDA	bɑnjode	bɑnjodɑ
ojunʤɑklArm	ojunʤɑklerm	ojunʤɑklɑrm
tutAlHm	tutelim	tutɑlɯm
ɑdlArH	ɑdleri	ɑdlɑrɯ
konHʃ	koniʃ	konuʃ
kitɑplArH	kitɑpleri	kitɑplɑrɯ
kɑlkHnʤA	kɑlkinʤe	kɑlkɯnʤɑ
piʒɑmɑlAr	piʒɑmɑler	piʒɑmɑlɑr
doktorA	doktore	doktorɑ
bɑʃHn	bɑʃin	bɑʃɯn
pɑrkHn	pɑrkin	pɑrkɯn
tɯkmA	tɯkme	tɯkmɑ
tuzsHz	tuzsiz	tuzsuz
ʧoʤuklArHn	ʧoʤuklerin	ʧoʤuklɑrɯn
televizjonH	televizjoni	televizjonu
