uf	pred	sf
ɑlɑlHm	ɑlɑlim	ɑlɑlɯm
bonʤuklArH	bonʤukleri	bonʤuklɑrɯ
ɑrɑbɑlArH	ɑrɑbɑleri	ɑrɑbɑlɑrɯ
otobysHn	otobysin	otobysyn
insɑnlAr	insɑnler	insɑnlɑr
zijɑnH	zijɑni	zijɑnɯ
tɑbɑnʤɑHn	tɑbɑnʤɑin	tɑbɑnʤɑɯn
oturAlHm	oturelim	oturɑlɯm
bɯrɑkAlHm	bɯrɑkelim	bɯrɑkɑlɯm
tɑbɑnʤɑH	tɑbɑnʤɑi	tɑbɑnʤɑɯ
vɑpurH	vɑpuri	vɑpuru
dɑktiloDA	dɑktilode	dɑktilodɑ
konuʃAlHm	konuʃelim	konuʃɑlɯm
vɑpurA	vɑpure	vɑpurɑ
ɑʃkmA	ɑʃkme	ɑʃkmɑ
kɑfɑnA	kɑfɑne	kɑfɑnɑ
sɑʧlArmH	sɑʧlermi	sɑʧlɑrmɯ
bɑlkonA	bɑlkone	bɑlkonɑ
ʃøførH	ʃøføri	ʃøføry
ɑtH	ɑti	ɑtɯ
ɑblɑH	ɑblɑi	ɑblɑɯ
hɑjvɑnlAr	hɑjvɑnler	hɑjvɑnlɑr
sɑlɯnʤɑklAr	sɑlɯnʤɑkler	sɑlɯnʤɑklɑr
ojnɑmAm	ojnɑmem	ojnɑmɑm
dɯʃɑrɯDA	dɯʃɑrɯde	dɯʃɑrɯdɑ
tɑhtɑHn	tɑhtɑin	tɑhtɑɯn
jɑrɑmɑzlHk	jɑrɑmɑzlik	jɑrɑmɑzlɯk
ɑblɑHHn	ɑblɑiin	ɑblɑɯɯn
kɑpA	kɑpe	kɑpɑ
kɯzA	kɯze	kɯzɑ
televizjonDA	televizjonde	televizjondɑ
ɑdɑmH	ɑdɑmi	ɑdɑmɯ
sɯnɯfDA	sɯnɯfde	sɯnɯftɑ
burɑlArH	burɑleri	burɑlɑrɯ
kɑldɯrHp	kɑldɯrip	kɑldɯrɯp
okulH	okuli	okulu
ʃurɑH	ʃurɑi	ʃurɑɯ
ujkumHzH	ujkumizi	ujkumuzu
ɑlHʃ	ɑliʃ	ɑlɯʃ
ɑjHHn	ɑjiin	ɑjɯɯn
bɑkmA	bɑkme	bɑkmɑ
ɑkʃɑmlAr	ɑkʃɑmler	ɑkʃɑmlɑr
sɑʧmA	sɑʧme	sɑʧmɑ
bejɑzH	bejɑzi	bejɑzɯ
sɑnADA	sɑnede	sɑnɑdɑ
olH	oli	olu
jɑzmA	jɑzme	jɑzmɑ
gɑrɑʒDA	gɑrɑʒde	gɑrɑʒdɑ
tɯrnɑklArHn	tɯrnɑklerin	tɯrnɑklɑrɯn
øpHnʤA	øpinʤe	øpynʤe
okulDAn	okulden	okuldɑn
dɑnDAn	dɑnden	dɑndɑn
kolH	koli	kolu
mɑndɑlinɑlArH	mɑndɑlinɑleri	mɑndɑlinɑlɑrɯ
sytsHz	sytsiz	sytsyz
ɑrkɑDAn	ɑrkɑden	ɑrkɑdɑn
puɑnH	puɑni	puɑnɯ
sigɑrɑmH	sigɑrɑmi	sigɑrɑmɯ
ʧorbɑDAn	ʧorbɑden	ʧorbɑdɑn
olmAHnʤA	olmeinʤe	olmɑɯnʤɑ
kɑrɑnlɯkDA	kɑrɑnlɯkte	kɑrɑnlɯktɑ
ɑrɑbɑmH	ɑrɑbɑmi	ɑrɑbɑmɯ
sokɑklArDAn	sokɑklerden	sokɑklɑrdɑn
mikrofonH	mikrofoni	mikrofonu
bluzH	bluzi	bluzu
tɑʃlAr	tɑʃler	tɑʃlɑr
ojnɑmAnH	ojnɑmeni	ojnɑmɑnɯ
bɑrdɑkDAn	bɑrdɑkten	bɑrdɑktɑn
jɑvrulArH	jɑvruleri	jɑvrulɑrɯ
ɯsɯrmAA	ɯsɯrmee	ɯsɯrmɑɑ
oɰlɑnH	oɰlɑni	oɰlɑnɯ
ʧɑtɑllAr	ʧɑtɑller	ʧɑtɑllɑr
mɑkɑrɑnA	mɑkɑrɑne	mɑkɑrɑnɑ
ɑjɑklArHHn	ɑjɑkleriin	ɑjɑklɑrɯɯn
tɯrnɑklArHHn	tɯrnɑkleriin	tɯrnɑklɑrɯɯn
mɑjmunlAr	mɑjmunler	mɑjmunlɑr
domuzH	domuzi	domuzu
