uf	pred	sf
oHn	oɯn	oun
mejdɑnA	mejdɑne	mejdɑnɑ
bølymH	bølymi	bølymy
durumH	durumɯ	durumu
hɑlDA	hɑldɑ	hɑlde
yʧnʤH	yʧnʤi	yʧnʤy
gyʧlH	gyʧli	gyʧly
mydyrH	mydyri	mydyry
dikkɑtA	dikkɑtɑ	dikkɑte
kodH	kodɯ	kodu
sorumlH	sorumlɯ	sorumlu
gynmHzDA	gynmizde	gynmyzde
olDHklArH	oldɯklɑrɯ	olduklɑrɯ
bɑʃDA	bɑʃdɑ	bɑʃtɑ
sonH	sonɯ	sonu
insɑnHn	insɑnin	insɑnɯn
formH	formɯ	formu
miktɑrH	miktɑri	miktɑrɯ
okulH	okulɯ	okulu
tyrH	tyri	tyry
ønmHzDAki	ønmizdeki	ønmyzdeki
hɑllArDA	hɑllɑrdɑ	hɑllerde
kurulHHn	kurulɯɯn	kuruluun
syrAn	syrɑn	syren
kontrolH	kontrolɯ	kontroly
ujumlH	ujumlɯ	ujumlu
tɑrihDAn	tɑrihden	tɑrihten
jɑpDHklArH	jɑpdɯklɑrɯ	jɑptɯklɑrɯ
bojH	bojɯ	boju
tɑrɑfDAn	tɑrɑfdɑn	tɑrɑftɑn
søzH	søzi	søzy
uzɑkDAn	uzɑkdɑn	uzɑktɑn
gynHn	gynin	gynyn
ʧøzymH	ʧøzymi	ʧøzymy
koruHʤH	koruɯʤɯ	koruuʤu
tɑrihDA	tɑrihde	tɑrihte
ekrɑnDA	ekrɑnde	ekrɑndɑ
ørgytH	ørgyti	ørgyty
rolH	rolɯ	roly
kurumHn	kurumɯn	kurumun
yrynHn	yrynin	yrynyn
insɑnH	insɑni	insɑnɯ
olmADAn	olmɑdɑn	olmɑtɑn
ɑjɑkDA	ɑjɑkdɑ	ɑjɑktɑ
etDHklArH	etdikleri	ettikleri
konuHn	konuɯn	konuun
sektørHHn	sektøriin	sektøryyn
kɑnunHHn	kɑnunɯɯn	kɑnunuun
konulH	konulɯ	konulu
kyltyrH	kyltyri	kyltyry
soruHn	soruɯn	soruun
firmɑHn	firmɑin	firmɑɯn
hɑlH	hɑlɯ	hɑli
toplumH	toplumɯ	toplumu
geleʤekDA	geleʤekde	geleʤekte
devɑmlH	devɑmli	devɑmlɯ
køjH	køji	køjy
sɑɑtH	sɑɑtɯ	sɑɑti
durumHn	durumɯn	durumun
gøryʃH	gøryʃi	gøryʃy
teʃkilɑtH	teʃkilɑti	teʃkilɑtɯ
sɑhiplArH	sɑhiplɑrɯ	sɑhipleri
sɑlonH	sɑlonɯ	sɑlonu
telefonH	telefoni	telefonu
døkymH	døkymi	døkymy
sempozjumH	sempozjumi	sempozjumu
tymH	tymi	tymy
etmADA	etmede	etmete
ojunH	ojunɯ	ojunu
sɑɑtlArH	sɑɑtlɑrɯ	sɑɑtleri
usulH	usulɯ	usuly
ødylH	ødyli	ødyly
jyzjɯlDA	jyzjɯlde	jyzjɯldɑ
bojutlH	bojutlɯ	bojutlu
hukukH	hukukɯ	hukuku
tɑrihsAl	tɑrihsɑl	tɑrihsel
gynmHzA	gynmize	gynmyze
kɑblosHz	kɑblosɯz	kɑblosuz
kurtulHʃ	kurtulɯʃ	kurtuluʃ
notH	notɯ	notu
mesɑʒH	mesɑʒi	mesɑʒɯ
bulunDHklArH	bulundɯklɑrɯ	bulunduklɑrɯ
jønetmelikDA	jønetmelikde	jønetmelikte
edebijɑtH	edebijɑti	edebijɑtɯ
jyzjɯlHn	jyzjɯlin	jyzjɯlɯn
nitelikDA	nitelikde	nitelikte
bɑʃlɑngɯʧDA	bɑʃlɑngɯʧdɑ	bɑʃlɑngɯʧtɑ
bojutH	bojutɯ	bojutu
sɑɑtDA	sɑɑtdɑ	sɑɑtte
okulHn	okulɯn	okulun
mezunH	mezuni	mezunu
insɑnlHk	insɑnlik	insɑnlɯk
fonH	fonɯ	fonu
tɑrɑfDA	tɑrɑfdɑ	tɑrɑftɑ
jønlH	jønli	jønly
øzgyrlHk	øzgyrlik	øzgyrlyk
grupDA	grupdɑ	gruptɑ
firmɑH	firmɑi	firmɑɯ
geliʃmADA	geliʃmede	geliʃmete
memurH	memuri	memuru
jyzH	jyzi	jyzy
ujgunlHk	ujgunlik	ujgunluk
jønH	jøni	jøny
kurulHn	kurulɯn	kurulun
komutH	komutɯ	komutu
devɑmH	devɑmi	devɑmɯ
fonksijonH	fonksijonɯ	fonksijonu
hɑjɑtDA	hɑjɑtdɑ	hɑjɑttɑ
olHnʤA	olɯnʤɑ	olunʤɑ
kuruluʃHn	kuruluʃɯn	kuruluʃun
elemɑnH	elemɑni	elemɑnɯ
yʧDA	yʧde	yʧte
sɑɑtlHk	sɑɑtlɯk	sɑɑtlik
iʃDAn	iʃden	iʃten
kolH	kolɯ	kolu
doɰruH	doɰruɯ	doɰruu
ølymH	ølymi	ølymy
kuʃkusHz	kuʃkusɯz	kuʃkusuz
oluʃumH	oluʃumɯ	oluʃumu
orduH	orduɯ	orduu
performɑnsH	performɑnsi	performɑnsɯ
jyksekokulH	jyksekokuli	jyksekokulu
gørHnʤA	gørinʤe	gørynʤe
tuʃH	tuʃi	tuʃu
sonsHz	sonsɯz	sonsuz
jɑpmADA	jɑpmɑdɑ	jɑpmɑtɑ
bilgisɑjɑrHn	bilgisɑjɑrin	bilgisɑjɑrɯn
dikkɑtH	dikkɑtɯ	dikkɑti
bɑʃDAn	bɑʃdɑn	bɑʃtɑn
konumH	konumɯ	konumu
doɰumlH	doɰumlɯ	doɰumlu
ʧoʤuklHk	ʧoʤuklɯk	ʧoʤukluk
uʧHʃ	uʧɯʃ	uʧuʃ
jolHn	jolɯn	jolun
bølymHn	bølymin	bølymyn
sorumluH	sorumluɯ	sorumluu
tɑbloH	tɑbloɯ	tɑblou
syreʧDA	syreʧde	syreʧte
orgɑnizɑsjonH	orgɑnizɑsjonɯ	orgɑnizɑsjonu
bølymHHn	bølymiin	bølymyyn
rɑporHn	rɑporɯn	rɑporun
tytynHn	tytynin	tytynyn
polislAr	polislɑr	polisler
jyklH	jykli	jykly
sɑhiplArHHn	sɑhiplɑrɯɯn	sɑhipleriin
bulunmADA	bulunmɑdɑ	bulunmɑtɑ
hukukHn	hukukɯn	hukukun
nyfusHn	nyfusin	nyfusun
nolH	nolɯ	nolu
ʧoklH	ʧoklɯ	ʧoklu
soruH	soruɯ	soruu
koʃulH	koʃulɯ	koʃulu
sytH	syti	syty
kitɑpDA	kitɑpdɑ	kitɑptɑ
jyryHʃ	jyryiʃ	jyryyʃ
gøzH	gøzi	gøzy
køjHn	køjin	køjyn
memurlArH	memurleri	memurlɑrɯ
byroH	byroi	byrou
kɑbulH	kɑbulɯ	kɑbuly
kurulmHz	kurulmɯz	kurulmuz
mesɑʒlAr	mesɑʒler	mesɑʒlɑr
dersDA	dersde	derste
gølH	gøli	gøly
gørynymH	gørynymi	gørynymy
tɑsɑrrufH	tɑsɑrrufɯ	tɑsɑrrufu
dostlHk	dostlɯk	dostluk
kursH	kursɯ	kursu
sɯnɯfDA	sɯnɯfdɑ	sɯnɯftɑ
kɑdroH	kɑdroɯ	kɑdrou
kurumHHn	kurumɯɯn	kurumuun
topDAn	topdɑn	toptɑn
elemɑnlArHHn	elemɑnleriin	elemɑnlɑrɯɯn
kontrollH	kontrollɯ	kontrolly
miktɑrHHn	miktɑriin	miktɑrɯɯn
elemɑnlAr	elemɑnler	elemɑnlɑr
ɑltDA	ɑltdɑ	ɑlttɑ
mekɑnizmɑH	mekɑnizmɑi	mekɑnizmɑɯ
menyH	menyi	menyy
jɑʃDA	jɑʃdɑ	jɑʃtɑ
dujguH	dujgui	dujguu
ekrɑnH	ekrɑni	ekrɑnɯ
komisjonHn	komisjonɯn	komisjonun
modylH	modyli	modyly
miktɑrlArH	miktɑrlɑri	miktɑrlɑrɯ
sendromH	sendromi	sendromu
unsurH	unsurɯ	unsuru
durumHHn	durumɯɯn	durumuun
teminɑtH	teminɑti	teminɑtɯ
renkDA	renkde	renkte
ɑlmADA	ɑlmɑdɑ	ɑlmɑtɑ
plɑtformH	plɑtformɯ	plɑtformu
bilgisɑjɑrH	bilgisɑjɑri	bilgisɑjɑrɯ
ʤezɑlArH	ʤezɑleri	ʤezɑlɑrɯ
sorumlHlHklArH	sorumlɯlɯklɑrɯ	sorumluluklɑrɯ
olDHkDAn	oldɯkdɑn	olduktɑn
fɑɑlijetDA	fɑɑlijetde	fɑɑlijette
ekrɑnHn	ekrɑnin	ekrɑnɯn
bojutDA	bojutdɑ	bojuttɑ
ørgytHn	ørgytin	ørgytyn
mensuplArH	mensupleri	mensuplɑrɯ
firmɑmHz	firmɑmiz	firmɑmɯz
suʧH	suʧɯ	suʧu
sulH	sulɯ	sulu
ʤezɑlAr	ʤezɑler	ʤezɑlɑr
kutuH	kutuɯ	kutuu
ojunHn	ojunɯn	ojunun
sorunHHn	sorunɯɯn	sorunuun
topH	topɯ	topu
miktɑrlArDA	miktɑrlɑrde	miktɑrlɑrdɑ
federɑsjonH	federɑsjoni	federɑsjonu
dokuH	dokuɯ	dokuu
protokolH	protokolɯ	protokoly
suretDA	suretde	surette
gørHp	gørip	gøryp
hɑvuzH	hɑvuzɯ	hɑvuzu
olHʃH	olɯʃɯ	oluʃu
geleʤekDAki	geleʤekdeki	geleʤekteki
opsijonH	opsijonɯ	opsijonu
dønHp	dønip	dønyp
nyfusHHn	nyfusiin	nyfusuun
sɑnɑtDA	sɑnɑtdɑ	sɑnɑttɑ
vermADA	vermede	vermete
jykymlH	jykymli	jykymly
ɑlDHkDAn	ɑldɯkdɑn	ɑldɯktɑn
zorlHk	zorlɯk	zorluk
internetDA	internetde	internette
uzɑkDA	uzɑkdɑ	uzɑktɑ
ɑsliA	ɑsliɑ	ɑslie
normɑlDA	normɑldɑ	normɑlde
soruH	soruɯ	soruu
joksullHk	joksullɯk	joksulluk
koordinɑsjonH	koordinɑsjonɯ	koordinɑsjonu
dostH	dostɯ	dostu
fɑktørH	fɑktøri	fɑktøry
dyʃHʃ	dyʃiʃ	dyʃyʃ
ʧokDAn	ʧokdɑn	ʧoktɑn
dersDAn	dersden	dersten
mezunlArH	mezunleri	mezunlɑrɯ
ruhH	ruhɯ	ruhu
temɑsA	temɑse	temɑsɑ
operɑsjonH	operɑsjonɯ	operɑsjonu
uzɑklɯkDA	uzɑklɯkdɑ	uzɑklɯktɑ
imzɑlAnAn	imzɑlenen	imzɑlɑnɑn
istɑsjonH	istɑsjonɯ	istɑsjonu
sɑvɑʃDA	sɑvɑʃdɑ	sɑvɑʃtɑ
polisHn	polisɯn	polisin
øzlHk	øzlik	øzlyk
mevzuɑtH	mevzuɑti	mevzuɑtɯ
ønʤylHk	ønʤylik	ønʤylyk
kyltyrHHn	kyltyriin	kyltyryyn
hykymlH	hykymli	hykymly
geʧDHkʧA	geʧdikʧe	geʧtikʧe
jɑpDHkDAn	jɑpdɯkdɑn	jɑptɯktɑn
bolH	bolɯ	bolu
sokɑkDA	sokɑkdɑ	sokɑktɑ
ʧɑlɯʃmADA	ʧɑlɯʃmɑdɑ	ʧɑlɯʃmɑtɑ
sɑɑtlArDA	sɑɑtlɑrdɑ	sɑɑtlerde
esɑslH	esɑsli	esɑslɯ
okuHʤH	okuɯʤɯ	okuuʤu
kurulumH	kurulumɯ	kurulumu
sorunsHz	sorunsɯz	sorunsuz
firmɑHHn	firmɑiin	firmɑɯɯn
bulHp	bulɯp	bulup
ɑlɯnDHkDAn	ɑlɯndɯkdɑn	ɑlɯndɯktɑn
sunuʤuH	sunuʤuɯ	sunuʤuu
telefonlArH	telefonleri	telefonlɑrɯ
tuzlH	tuzli	tuzlu
ɑrtDHkʧA	ɑrtdɯkʧɑ	ɑrttɯkʧɑ
olmADA	olmɑdɑ	olmɑtɑ
gøryntyH	gøryntyi	gøryntyy
ʧɑpDA	ʧɑpdɑ	ʧɑptɑ
konuHHn	konuɯɯn	konuuun
mekɑnizmɑlArH	mekɑnizmɑleri	mekɑnizmɑlɑrɯ
mesɑʒlArH	mesɑʒleri	mesɑʒlɑrɯ
motorH	motorɯ	motoru
kuruluʃHHn	kuruluʃɯɯn	kuruluʃuun
kutlH	kutli	kutlu
oturHp	oturɯp	oturup
jyzjɯlA	jyzjɯle	jyzjɯlɑ
hususDA	hususdɑ	husustɑ
geʧDHkDAn	geʧdikden	geʧtikten
kyltyrHn	kyltyrin	kyltyryn
bugynHn	bugynin	bugynyn
zorunlulHk	zorunlulɯk	zorunluluk
tɑbiplArH	tɑbiplɑri	tɑbipleri
tipDA	tipde	tipte
iptɑlH	iptɑlɯ	iptɑli
olguH	olguɯ	olguu
gynmHzHn	gynmizin	gynmyzyn
ojH	ojɯ	oju
suʧlH	suʧlɯ	suʧlu
tɑzminɑtH	tɑzminɑti	tɑzminɑtɯ
sertifikɑH	sertifikɑi	sertifikɑɯ
øzH	øzi	øzy
kentDA	kentde	kentte
hususH	hususɯ	hususu
huzurlH	huzurlɯ	huzurlu
suʧHn	suʧɯn	suʧun
toplumHHn	toplumɯɯn	toplumuun
tutumH	tutumi	tutumu
etmADAn	etmeden	etmeten
kokuH	kokuɯ	kokuu
stɑtyH	stɑtyɯ	stɑtyy
turH	turi	turu
usullArH	usullɑrɯ	usulleri
kojHp	kojɯp	kojup
bilgisɑjɑrnHzA	bilgisɑjɑrnize	bilgisɑjɑrnɯzɑ
jyryrlykDA	jyryrlykde	jyryrlykte
enflɑsjonHn	enflɑsjonin	enflɑsjonun
rɑporHHn	rɑporɯɯn	rɑporuun
jyryrlykDAn	jyryrlykden	jyryrlykten
ujumH	ujumɯ	ujumu
dujDHklArH	dujdiklɑrɯ	dujduklɑrɯ
fotokopiH	fotokopiɯ	fotokopii
kokulH	kokulɯ	kokulu
mevlɑnA	mevlɑne	mevlɑnɑ
okulmHz	okulmɯz	okulmuz
tijɑtroH	tijɑtroɯ	tijɑtrou
ʧɑlɯʃDHklArH	ʧɑlɯʃdɯklɑrɯ	ʧɑlɯʃtɯklɑrɯ
ølʧymH	ølʧymi	ølʧymy
ujruklH	ujruklɯ	ujruklu
ɑrɑziDA	ɑrɑzidɑ	ɑrɑzide
bilgisɑjɑrlH	bilgisɑjɑrli	bilgisɑjɑrlɯ
borʧlH	borʧlɯ	borʧlu
kɯlɑvuzH	kɯlɑvuzɯ	kɯlɑvuzu
kɑtDA	kɑtdɑ	kɑttɑ
kontrollArH	kontrollɑrɯ	kontrolleri
memurlAr	memurler	memurlɑr
vyʤutDA	vyʤutde	vyʤuttɑ
jykymlHlHklArH	jykymlilikleri	jykymlylykleri
koordinɑtørH	koordinɑtøri	koordinɑtøry
orduHn	orduɯn	orduun
sunumH	sunumɯ	sunumu
metodlArH	metodleri	metodlɑrɯ
semptomlAr	semptomler	semptomlɑr
bitDHkDAn	bitdikden	bittikten
etDHkDAn	etdikden	ettikten
tɑlimɑtH	tɑlimɑti	tɑlimɑtɯ
jolHHn	jolɯɯn	joluun
virysH	virysi	virysy
yʧlH	yʧli	yʧly
byjyklHkDA	byjyklikde	byjyklykte
bɑʃvuruHn	bɑʃvuruɯn	bɑʃvuruun
dønHʃH	døniʃi	dønyʃy
ilɑnH	ilɑni	ilɑnɯ
kusursHz	kusursɯz	kusursuz
ørtyH	ørtyi	ørtyy
jerɑlAn	jerɑlen	jerɑlɑn
sɑɑtA	sɑɑtɑ	sɑɑte
mevzuɑtA	mevzuɑte	mevzuɑtɑ
telefonlAr	telefonler	telefonlɑr
ʤezɑHHn	ʤezɑiin	ʤezɑɯɯn
hɑllAr	hɑllɑr	hɑller
mɑsonlHk	mɑsonlɯk	mɑsonluk
ɑlkollH	ɑlkollɯ	ɑlkolly
rektørH	rektøri	rektøry
insɑnHHn	insɑniin	insɑnɯɯn
jɑpmADAn	jɑpmɑdɑn	jɑpmɑtɑn
joɰunlHk	joɰunlɯk	joɰunluk
bytynH	bytyni	bytyny
doɰHʃ	doɰɯʃ	doɰuʃ
fonHn	fonɯn	fonun
prɑtikDA	prɑtikde	prɑtikte
syrymH	syrymi	syrymy
bɑroH	bɑroɯ	bɑrou
gøzHn	gøzin	gøzyn
mekɑnlArDA	mekɑnlerde	mekɑnlɑrdɑ
sendikɑH	sendikɑi	sendikɑɯ
tesisDA	tesisde	tesiste
rektørlHk	rektørlik	rektørlyk
ɑlbymH	ɑlbymɯ	ɑlbymy
doktorH	doktorɯ	doktoru
hɑstɑlɯkDAn	hɑstɑlɯkdɑn	hɑstɑlɯktɑn
ørgytHHn	ørgytiin	ørgytyyn
eʃjɑHn	eʃjɑin	eʃjɑɯn
hɑjɑlH	hɑjɑlɯ	hɑjɑli
søzHn	søzin	søzyn
hɑfifʧA	hɑfifʧɑ	hɑfifʧe
imzɑH	imzɑi	imzɑɯ
ønH	øni	øny
bytynlHk	bytynlik	bytynlyk
bozuklHk	bozuklɯk	bozukluk
myslymɑnlAr	myslymɑnler	myslymɑnlɑr
tɯpDA	tɯpdɑ	tɯptɑ
bursH	bursɯ	bursu
gøryntyH	gøryntyi	gøryntyy
nitelikDAki	nitelikdeki	nitelikteki
hizmetDAn	hizmetden	hizmetten
mɑkbuzH	mɑkbuzɯ	mɑkbuzu
polislArHn	polislɑrɯn	polislerin
hɑrfH	hɑrfɯ	hɑrfi
medjɑHn	medjɑin	medjɑɯn
tɑbloHn	tɑbloɯn	tɑbloun
tutmAA	tutmeɑ	tutmɑɑ
jolsuzlHk	jolsuzlɯk	jolsuzluk
depoH	depoi	depou
ekrɑnDAki	ekrɑndeki	ekrɑndɑki
mekɑnDA	mekɑnde	mekɑndɑ
miljonA	miljone	miljonɑ
tonH	tonɯ	tonu
køpryH	køpryi	køpryy
sɑɑtDAn	sɑɑtdɑn	sɑɑtten
versijonH	versijoni	versijonu
jyzjɯllAr	jyzjɯller	jyzjɯllɑr
