uf	pred	sf
kurulH	kurulɯ	kurulu
gynH	gyni	gyny
konuH	konuɯ	konuu
oHn	oɯn	oun
jolH	jolɯ	jolu
hɑlDA	hɑldɑ	hɑlde
yʧnʤH	yʧnʤi	yʧnʤy
gyʧlH	gyʧli	gyʧly
mydyrH	mydyri	mydyry
rɑporH	rɑporɯ	rɑporu
sorumlH	sorumlɯ	sorumlu
sorunH	sorunɯ	sorunu
kɑnunHn	kɑnunɯn	kɑnunun
bɑʃDA	bɑʃdɑ	bɑʃtɑ
toplumHn	toplumɯn	toplumun
birejsAl	birejsɑl	birejsel
enstityH	enstityi	enstityy
kɑnunH	kɑnunɯ	kɑnunu
okulH	okulɯ	okulu
ʃejlAr	ʃejlɑr	ʃejler
tyrH	tyri	tyry
komisjonH	komisjonɯ	komisjonu
ønmHzDAki	ønmizdeki	ønmyzdeki
hɑllArDA	hɑllɑrdɑ	hɑllerde
kurulHHn	kurulɯɯn	kuruluun
kontrolH	kontroli	kontroly
ujumlH	ujumlɯ	ujumlu
tɑrihDAn	tɑrihden	tɑrihten
sektørH	sektøri	sektøry
jɑpDHklArH	jɑpdɯklɑrɯ	jɑptɯklɑrɯ
bojH	bojɯ	boju
tɑrɑfDAn	tɑrɑfdɑn	tɑrɑftɑn
uzɑkDAn	uzɑkdɑn	uzɑktɑn
gynHn	gynin	gynyn
yrynH	yryni	yryny
ʧøzymH	ʧøzymi	ʧøzymy
koruHʤH	koruɯʤɯ	koruuʤu
tɑrihDA	tɑrihde	tɑrihte
kuruluʃH	kuruluʃɯ	kuruluʃu
ystH	ysti	ysty
konuH	konuɯ	konuu
ørgytH	ørgyti	ørgyty
rolH	rolɯ	roly
yrynHn	yrynin	yrynyn
olmADAn	olmɑdɑn	olmɑtɑn
ɑjɑkDA	ɑjɑkdɑ	ɑjɑktɑ
etDHklArH	etdikleri	ettikleri
konuHn	konuɯn	konuun
sektørHHn	sektøriin	sektøryyn
kɑnunHHn	kɑnunɯɯn	kɑnunuun
sonuʧDA	sonuʧdɑ	sonuʧtɑ
konulH	konulɯ	konulu
kyltyrH	kyltyri	kyltyry
soruHn	soruɯn	soruun
konsejH	konsejɯ	konseji
hɑlH	hɑlɯ	hɑli
toplumH	toplumɯ	toplumu
geleʤekDA	geleʤekde	geleʤekte
køjH	køjɯ	køjy
sɑɑtH	sɑɑtɯ	sɑɑti
durumHn	durumɯn	durumun
gøryʃH	gøryʃi	gøryʃy
teʃkilɑtH	teʃkilɑti	teʃkilɑtɯ
telefonH	telefonɯ	telefonu
døkymH	døkymi	døkymy
dønHʃ	døniʃ	dønyʃ
sempozjumH	sempozjumɯ	sempozjumu
tymH	tymi	tymy
etmADA	etmede	etmete
geliʃmAH	geliʃmeɯ	geliʃmei
ojunH	ojunɯ	ojunu
mutlulHk	mutlulɯk	mutluluk
sɑɑtlArH	sɑɑtlɑrɯ	sɑɑtleri
usulH	usulɯ	usuly
ødylH	ødyli	ødyly
bojutlH	bojutlɯ	bojutlu
deɰiʃiklHklArH	deɰiʃikliklerɯ	deɰiʃiklikleri
hukukH	hukukɯ	hukuku
kɑblosHz	kɑblosɯz	kɑblosuz
notH	noti	notu
bulunDHklArH	bulundɯklɑrɯ	bulunduklɑrɯ
jønetmelikDA	jønetmelikde	jønetmelikte
edebijɑtH	edebijɑti	edebijɑtɯ
kitɑplAr	kitɑpler	kitɑplɑr
nitelikDA	nitelikde	nitelikte
bɑʃlɑngɯʧDA	bɑʃlɑngɯʧdɑ	bɑʃlɑngɯʧtɑ
gynmHz	gynmiz	gynmyz
bojutH	bojutɯ	bojutu
okulHn	okulɯn	okulun
mezunH	mezunɯ	mezunu
nyfusH	nyfusɯ	nyfusu
fonH	fonɯ	fonu
tɑrɑfDA	tɑrɑfdɑ	tɑrɑftɑ
jønlH	jønli	jønly
grupDA	grupdɑ	gruptɑ
ønlAnmAH	ønlenmɑi	ønlenmei
geʧmiʃDA	geʧmiʃde	geʧmiʃte
geliʃmADA	geliʃmede	geliʃmete
memurH	memurɯ	memuru
jønH	jøni	jøny
kurulHn	kurulɯn	kurulun
kitɑplArH	kitɑpleri	kitɑplɑrɯ
komutH	komutɯ	komutu
fonksijonH	fonksijonɯ	fonksijonu
hɑjɑtDA	hɑjɑtdɑ	hɑjɑttɑ
bɑʃvuruH	bɑʃvuruɯ	bɑʃvuruu
gerʧeklAʃAn	gerʧekleʃɑn	gerʧekleʃen
olHnʤA	olɯnʤɑ	olunʤɑ
kuruluʃHn	kuruluʃɯn	kuruluʃun
yʧDA	yʧde	yʧte
sɑɑtlHk	sɑɑtlɯk	sɑɑtlik
kolH	kolɯ	kolu
doɰruH	doɰruɯ	doɰruu
ʃejlArH	ʃejlɑri	ʃejleri
kuʃkusHz	kuʃkusɯz	kuʃkusuz
oluʃumH	oluʃumɯ	oluʃumu
orduH	orduɯ	orduu
jyksekokulH	jyksekokulɯ	jyksekokulu
gørHnʤA	gørinʤe	gørynʤe
tɑrzH	tɑrzi	tɑrzɯ
tuʃH	tuʃɯ	tuʃu
ʃejA	ʃejɑ	ʃeje
sonsHz	sonsɯz	sonsuz
jɑpmADA	jɑpmɑdɑ	jɑpmɑtɑ
konumH	konumɯ	konumu
doɰumlH	doɰumlɯ	doɰumlu
ʧoʤuklHk	ʧoʤuklɯk	ʧoʤukluk
uʧHʃ	uʧɯʃ	uʧuʃ
jolHn	jolɯn	jolun
birejlAr	birejlɑr	birejler
birejlArHn	birejlɑrin	birejlerin
bølymHn	bølymin	bølymyn
jykH	jykɯ	jyky
sorumluH	sorumluɯ	sorumluu
tɑbloH	tɑbloɯ	tɑblou
syreʧDA	syreʧde	syreʧte
bølymHHn	bølymiin	bølymyyn
rɑporHn	rɑporɯn	rɑporun
tytynHn	tytynin	tytynyn
jyklH	jykli	jykly
kyresAllAʃmA	kyreselleʃmɑ	kyreselleʃme
bulunmADA	bulunmɑdɑ	bulunmɑtɑ
hukukHn	hukukɯn	hukukun
nyfusHn	nyfusɯn	nyfusun
nolH	nolɯ	nolu
ʧoklH	ʧoklɯ	ʧoklu
soruH	soruɯ	soruu
koʃulH	koʃulɯ	koʃulu
vH	vɯ	vi
sytH	syti	syty
kitɑpDA	kitɑpdɑ	kitɑptɑ
jyryHʃ	jyryiʃ	jyryyʃ
gøzH	gøzi	gøzy
køjHn	køjɯn	køjyn
byroH	byroi	byrou
kɑbulH	kɑbulɯ	kɑbuly
kurulmHz	kurulmɯz	kurulmuz
dersDA	dersde	derste
gerʧeklAʃmAH	gerʧekleʃmɑɯ	gerʧekleʃmei
gølH	gøli	gøly
tɑsɑrrufH	tɑsɑrrufɯ	tɑsɑrrufu
dostlHk	dostlik	dostluk
kursH	kursɯ	kursu
sɯnɯfDA	sɯnɯfdɑ	sɯnɯftɑ
kɑdroH	kɑdroɯ	kɑdrou
kurumHHn	kurumɯɯn	kurumuun
topDAn	topdɑn	toptɑn
kontrollH	kontrolli	kontrolly
ɑltDA	ɑltdɑ	ɑlttɑ
menyH	menyi	menyy
motorlH	motorli	motorlu
jɑʃDA	jɑʃdɑ	jɑʃtɑ
