uf	pred	sf
hɑlA	hɑlɑ	hɑle
progrɑmH	progrɑmi	progrɑmɯ
bilimsAl	bilimsɑl	bilimsel
sɑjɯDA	sɑjɯtɑ	sɑjɯdɑ
ɑʃɑɰɯDA	ɑʃɑɰɯtɑ	ɑʃɑɰɯdɑ
dikkɑtA	dikkɑtɑ	dikkɑte
jukɑrɯDA	jukɑrɯtɑ	jukɑrɯdɑ
ølʧyDA	ølʧyte	ølʧyde
bølgeDA	bølgete	bølgede
syreDA	syrete	syrede
kiʃisAl	kiʃisɑl	kiʃisel
ylkeDA	ylkete	ylkede
doɰAn	doɰen	doɰɑn
ɑʧɯDAn	ɑʧɯtɑn	ɑʧɯdɑn
dereʤeDA	dereʤete	dereʤede
progrɑmHn	progrɑmin	progrɑmɯn
hɑllArDA	hɑllɑrdɑ	hɑllerde
geliʃAn	geliʃɑn	geliʃen
kontrolH	kontrolu	kontroly
kɑtkɯDA	kɑtkɯtɑ	kɑtkɯdɑ
tɑrihDAn	tɑrihden	tɑrihten
deɰiʃAn	deɰiʃɑn	deɰiʃen
toplɑntɯDA	toplɑntɯtɑ	toplɑntɯdɑ
nereDA	nerete	nerede
ortɑmH	ortɑmi	ortɑmɯ
sɯnɑvH	sɯnɑvi	sɯnɑvɯ
tɑrihDA	tɑrihde	tɑrihte
kɑvrɑmH	kɑvrɑmi	kɑvrɑmɯ
dynjɑDAki	dynjɑdeki	dynjɑdɑki
olmADAn	olmɑdɑn	olmɑtɑn
mɑddeDA	mɑddete	mɑddede
tɑmɑmH	tɑmɑmi	tɑmɑmɯ
burɑDAki	burɑdeki	burɑdɑki
sɑjeDA	sɑjete	sɑjede
ʤinsAl	ʤinsɑl	ʤinsel
sonuʧDA	sonuʧdɑ	sonuʧtɑ
hɑlH	hɑlɯ	hɑli
konuDAki	konutɑki	konudɑki
ɑnlɑmH	ɑnlɑmi	ɑnlɑmɯ
ʧerʧeveDA	ʧerʧevete	ʧerʧevede
ɑlDHklArH	ɑltɯklɑrɯ	ɑldɯklɑrɯ
dikkɑtlH	dikkɑtlɯ	dikkɑtli
rɑhɑtsHz	rɑhɑtsiz	rɑhɑtsɯz
sɑɑtlArH	sɑɑtlɑrɯ	sɑɑtleri
isteDHklArH	istetikleri	istedikleri
bølgeDAki	bølgeteki	bølgedeki
usulH	usulu	usuly
tɑrihsAl	tɑrihsɑl	tɑrihsel
