uf	pred	sf
wirginaLis	wirginaris	wirginalis
teatraLis	teatraris	teatralis
penetraLis	penetraris	penetralis
libraLis	libraris	libralis
formaLis	formaris	formalis
trigonaLis	trigonaris	trigonalis
krinaLis	krinaris	krinalis
ruminaLis	ruminaris	ruminalis
triumuiraLis	triumuiraris	triumuiralis
dorsuaLis	dorsuaris	dorsualis
sepulkraLis	sepulkraris	sepulkralis
originaLis	originaris	originalis
wrginaLis	wrginaris	wrginalis
wiraLis	wiraris	wiralis
turmaLis	turmaris	turmalis
iliberaLis	iliberaris	iliberalis
kentumwiraLis	kentumwiraris	kentumwiralis
dekemwiraLis	dekemwiraris	dekemwiralis
