uf	pred	sf
karmentaLis	karmentaris	karmentalis
awernaLis	awernaris	awernalis
trabaLis	trabaris	trabalis
esuriaLis	esuriaris	esurialis
menstruaLis	menstruaris	menstrualis
kentraLis	kentraris	kentralis
palmipedaLis	palmipedaris	palmipedalis
kommortaLis	kommortaris	kommortalis
trigonaLis	trigonaris	trigonalis
armentaLis	armentaris	armentalis
ruminaLis	ruminaris	ruminalis
dorsuaLis	dorsuaris	dorsualis
nowerkaLis	nowerkaris	nowerkalis
lustraLis	lustraris	lustralis
wolataLis	wolataris	wolatalis
wrginaLis	wrginaris	wrginalis
latiaLis	latiaris	latialis
