uf	pred	sf
hɑlDA	hɑldɑ	hɑlde
bɑʃDA	bɑʃdɑ	bɑʃtɑ
hɑllArDA	hɑllɑrdɑ	hɑllerde
jɑpDHklArH	jɑpdɯklɑrɯ	jɑptɯklɑrɯ
tɑrɑfDAn	tɑrɑfdɑn	tɑrɑftɑn
uzɑkDAn	uzɑkdɑn	uzɑktɑn
tɑrihDA	tɑrihde	tɑrihte
rolH	rolu	roly
olmADAn	olmɑdɑn	olmɑtɑn
ɑjɑkDA	ɑjɑkdɑ	ɑjɑktɑ
etDHklArH	etdikleri	ettikleri
sonuʧDA	sonuʧdɑ	sonuʧtɑ
hɑlH	hɑlɯ	hɑli
geleʤekDA	geleʤekde	geleʤekte
etmADA	etmede	etmete
dikkɑtlH	dikkɑtlɯ	dikkɑtli
sɑɑtlArH	sɑɑtlɑrɯ	sɑɑtleri
usulH	usulu	usuly
jønetmelikDA	jønetmelikde	jønetmelikte
nitelikDA	nitelikde	nitelikte
bɑʃlɑngɯʧDA	bɑʃlɑngɯʧdɑ	bɑʃlɑngɯʧtɑ
sɑɑtDA	sɑɑtdɑ	sɑɑtte
tɑrɑfDA	tɑrɑfdɑ	tɑrɑftɑ
grupDA	grupdɑ	gruptɑ
geʧmiʃDA	geʧmiʃde	geʧmiʃte
geliʃmADA	geliʃmede	geliʃmete
hɑjɑtDA	hɑjɑtdɑ	hɑjɑttɑ
yʧDA	yʧde	yʧte
sɑɑtlHk	sɑɑtlɯk	sɑɑtlik
iʃDAn	iʃden	iʃten
jɑpmADA	jɑpmɑdɑ	jɑpmɑtɑ
dikkɑtH	dikkɑtɯ	dikkɑti
bɑʃDAn	bɑʃdɑn	bɑʃtɑn
syreʧDA	syreʧde	syreʧte
bulunmADA	bulunmɑdɑ	bulunmɑtɑ
kitɑpDA	kitɑpdɑ	kitɑptɑ
kɑbulH	kɑbulu	kɑbuly
dersDA	dersde	derste
sɯnɯfDA	sɯnɯfdɑ	sɯnɯftɑ
topDAn	topdɑn	toptɑn
kontrollH	kontrollu	kontrolly
ɑltDA	ɑltdɑ	ɑlttɑ
jɑʃDA	jɑʃdɑ	jɑʃtɑ
renkDA	renkde	renkte
ɑlmADA	ɑlmɑdɑ	ɑlmɑtɑ
olDHkDAn	oldukdɑn	olduktɑn
fɑɑlijetDA	fɑɑlijetde	fɑɑlijette
bojutDA	bojutdɑ	bojuttɑ
protokolH	protokolu	protokoly
suretDA	suretde	surette
geleʤekDAki	geleʤekdeki	geleʤekteki
ihtimɑlH	ihtimɑlɯ	ihtimɑli
sɑnɑtDA	sɑnɑtdɑ	sɑnɑttɑ
vermADA	vermede	vermete
ɑlDHkDAn	ɑldɯkdɑn	ɑldɯktɑn
internetDA	internetde	internette
uzɑkDA	uzɑkdɑ	uzɑktɑ
normɑlDA	normɑldɑ	normɑlde
ʧokDAn	ʧokdɑn	ʧoktɑn
dersDAn	dersden	dersten
uzɑklɯkDA	uzɑklɯkdɑ	uzɑklɯktɑ
sɑvɑʃDA	sɑvɑʃdɑ	sɑvɑʃtɑ
geʧDHkʧA	geʧdikʧe	geʧtikʧe
jɑpDHkDAn	jɑpdɯkdɑn	jɑptɯktɑn
sɑɑtlAr	sɑɑtlɑr	sɑɑtler
sokɑkDA	sokɑkdɑ	sokɑktɑ
ʧɑlɯʃmADA	ʧɑlɯʃmɑdɑ	ʧɑlɯʃmɑtɑ
sɑɑtlArDA	sɑɑtlɑrdɑ	sɑɑtlerde
ɑlɯnDHkDAn	ɑlɯndɯkdɑn	ɑlɯndɯktɑn
ɑrtDHkʧA	ɑrtdɯkʧɑ	ɑrttɯkʧɑ
olmADA	olmɑdɑ	olmɑtɑ
ʧɑpDA	ʧɑpdɑ	ʧɑptɑ
yniversitelArɑrɑsɯ	yniversitelɑrɑrɑsɯ	yniversitelerɑrɑsɯ
hususDA	hususdɑ	husustɑ
geʧDHkDAn	geʧdikden	geʧtikten
tipDA	tipde	tipte
iptɑlH	iptɑlɯ	iptɑli
kentDA	kentde	kentte
etmADAn	etmeden	etmeten
usullArH	usullɑrɯ	usulleri
jyryrlykDA	jyryrlykde	jyryrlykte
jyryrlykDAn	jyryrlykden	jyryrlykten
ʧɑlɯʃDHklArH	ʧɑlɯʃdɯklɑrɯ	ʧɑlɯʃtɯklɑrɯ
kɑtDA	kɑtdɑ	kɑttɑ
kontrollArH	kontrollɑrɯ	kontrolleri
vyʤutDA	vyʤutdɑ	vyʤuttɑ
etDHkDAn	etdikden	ettikten
byjyklHkDA	byjyklykde	byjyklykte
sɑɑtA	sɑɑtɑ	sɑɑte
hɑllAr	hɑllɑr	hɑller
ɑlkollH	ɑlkollu	ɑlkolly
jɑpmADAn	jɑpmɑdɑn	jɑpmɑtɑn
prɑtikDA	prɑtikde	prɑtikte
tesisDA	tesisde	tesiste
hɑstɑlɯkDAn	hɑstɑlɯkdɑn	hɑstɑlɯktɑn
hɑjɑlH	hɑjɑlɯ	hɑjɑli
tɯpDA	tɯpdɑ	tɯptɑ
nitelikDAki	nitelikdeki	nitelikteki
hizmetDAn	hizmetden	hizmetten
hɑrfH	hɑrfɯ	hɑrfi
sɑɑtDAn	sɑɑtdɑn	sɑɑtten
ystDA	ystde	ystte
bɑkHʃDA	bɑkɯʃdɑ	bɑkɯʃtɑ
tɑmɑmlADHkDAn	tɑmɑmlɑdɯkdɑn	tɑmɑmlɑdɯktɑn
tɑrɑfDAki	tɑrɑfdɑki	tɑrɑftɑki
jyryrlykDAki	jyryrlykdeki	jyryrlykteki
ørnekDA	ørnekde	ørnekte
devletDAn	devletden	devletten
festivɑlH	festivɑlɯ	festivɑli
hɑlkDAn	hɑlkdɑn	hɑlktɑn
internetDAn	internetden	internetten
syrɑtlH	syrɑtlɯ	syrɑtli
sembolH	sembolu	semboly
sɑvɑʃDAn	sɑvɑʃdɑn	sɑvɑʃtɑn
yjelHkDAn	yjelikden	yjelikten
etɑpDA	etɑpdɑ	etɑptɑ
ølʧekDA	ølʧekde	ølʧekte
bɑsDA	bɑsdɑ	bɑstɑ
hizmetDA	hizmetde	hizmette
konferɑnsDA	konferɑnsdɑ	konferɑnstɑ
geʧmiʃDAn	geʧmiʃden	geʧmiʃten
ʧoʤukDA	ʧoʤukdɑ	ʧoʤuktɑ
meslekDA	meslekde	meslekte
tɑmɑmlɑnDHkDAn	tɑmɑmlɑndɯkdɑn	tɑmɑmlɑndɯktɑn
ɑltDAki	ɑltdɑki	ɑlttɑki
kɑjnɑkDAn	kɑjnɑkdɑn	kɑjnɑktɑn
milletlArɑrɑsɯ	milletlɑrɑrɑsɯ	milletlerɑrɑsɯ
memleketDA	memleketde	memlekette
dørtDA	dørtde	dørtte
tɑlepDA	tɑlepde	tɑlepte
tiʤɑretDA	tiʤɑretde	tiʤɑrette
usullAr	usullɑr	usuller
doɰHʃDAn	doɰuʃdɑn	doɰuʃtɑn
fɯrsɑtDA	fɯrsɑtdɑ	fɯrsɑttɑ
girDHkDAn	girdikden	girdikten
jyrekDAn	jyrekden	jyrekten
sebepDAn	sebepden	sebepten
kɑrʃɯlɑʃDHklArH	kɑrʃɯlɑʃdɯklɑrɯ	kɑrʃɯlɑʃtɯklɑrɯ
kɑrɑnlɯkDA	kɑrɑnlɯkdɑ	kɑrɑnlɯktɑ
normɑlA	normɑlɑ	normɑle
sɯʤɑklɯkDA	sɯʤɑklɯkdɑ	sɯʤɑklɯktɑ
ɑteʃDA	ɑteʃde	ɑteʃte
gelDHkDAn	geldikden	geldikten
iʃgɑlH	iʃgɑlɯ	iʃgɑli
jemekDAn	jemekden	jemekten
formɑtDA	formɑtdɑ	formɑttɑ
jurtDA	jurtdɑ	jurttɑ
gelmADA	gelmede	gelmete
grupDAn	grupdɑn	gruptɑn
kullɑnmADA	kullɑnmɑdɑ	kullɑnmɑtɑ
bɑʃlɑDHkDAn	bɑʃlɑdɯkdɑn	bɑʃlɑdɯktɑn
øzellikDA	øzellikde	øzellikte
hɑrflArH	hɑrflɑrɯ	hɑrfleri
ʃirketDA	ʃirketde	ʃirkette
gøstermADA	gøstermede	gøstermete
herkesDAn	herkesden	herkesten
ʧøzynyrlykDA	ʧøzynyrlykde	ʧøzynyrlykte
toprɑkDA	toprɑkdɑ	toprɑktɑ
girHʃDA	giriʃde	giriʃte
mɑterjɑllAr	mɑterjɑllɑr	mɑterjɑller
ɑrtmADA	ɑrtmɑdɑ	ɑrtmɑtɑ
grupDAki	grupdɑki	gruptɑki
mɑterjɑlH	mɑterjɑlɯ	mɑterjɑli
terminɑlH	terminɑlɯ	terminɑli
hɑrflAr	hɑrflɑr	hɑrfler
sɑɰlɑmADA	sɑɰlɑmɑdɑ	sɑɰlɑmɑtɑ
misɑlH	misɑlɯ	misɑli
verDHkDAn	verdikden	verdikten
vermADAn	vermeden	vermeten
tɑrihDAki	tɑrihdeki	tɑrihteki
kuruluʃDA	kuruluʃdɑ	kuruluʃtɑ
petrolHn	petrolun	petrolyn
meʤlisDA	meʤlisde	meʤliste
uzɑkDAki	uzɑkdɑki	uzɑktɑki
ystDAki	ystdeki	ystteki
ɑʧɯkDA	ɑʧɯkdɑ	ɑʧɯktɑ
